Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[time]	characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[time]	factor value[enrichment process]
Sample 28	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 62	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 29	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 63	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 30	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 64	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 31	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 65	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 32	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 66	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 33	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 67	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 34	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 68	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_60min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_60min_C3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 35	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 69	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 36	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 70	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 37	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 71	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 35	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 72	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 36	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 73	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 37	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 74	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 38	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 75	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 39	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 76	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 40	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 77	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 38	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 78	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_B1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 39	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 79	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 40	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 80	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 41	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 81	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 42	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 82	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_20min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_20min_C2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 41	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 83	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 42	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 84	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_C2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 43	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	20	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 85	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_20min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_20min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	20	enrichment of phosphorylated Protein
Sample 44	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 86	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 45	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 87	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 46	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 88	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 47	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 89	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 48	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 90	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 49	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 91	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 50	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 92	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
