source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	technology type	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[enrichment method]	comment[data file]	factor value[synthetic peptide]
PXD000759-Sample-250	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	159	synthetic	run 250	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib76_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib76_IMAC.raw	synthetic
PXD000759-Sample-251	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	160	synthetic	run 251	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib05_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib05_IMAC.raw	synthetic
PXD000759-Sample-252	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	161	synthetic	run 252	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib27_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib27_TiO2.raw	synthetic
PXD000759-Sample-253	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	162	synthetic	run 253	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib86_direct_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib86_direct_2.raw	synthetic
PXD000759-Sample-254	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	163	synthetic	run 254	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib59_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib59_direct.raw	synthetic
PXD000759-Sample-255	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	164	synthetic	run 255	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib78_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	lib78_TiO2.raw	synthetic
PXD000759-Sample-256	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	165	synthetic	run 256	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib76_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib76_direct.raw	synthetic
PXD000759-Sample-257	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	166	synthetic	run 257	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib57_direct_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib57_direct_2.raw	synthetic
PXD000759-Sample-258	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	167	synthetic	run 258	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib26_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib26_TiO2.raw	synthetic
PXD000759-Sample-259	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	168	synthetic	run 259	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib50_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib50_IMAC.raw	synthetic
PXD000759-Sample-26	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	169	synthetic	run 26	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib51_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib51_direct.raw	synthetic
PXD000759-Sample-260	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	170	synthetic	run 260	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib28_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib28_IMAC.raw	synthetic
PXD000759-Sample-261	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	171	synthetic	run 261	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib64_TiO2_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib64_TiO2_2.raw	synthetic
PXD000759-Sample-263	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	172	synthetic	run 263	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib82_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib82_IMAC.raw	synthetic
PXD000759-Sample-264	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	173	synthetic	run 264	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib62_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib62_IMAC.raw	synthetic
PXD000759-Sample-265	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	174	synthetic	run 265	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib91_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib91_IMAC.raw	synthetic
PXD000759-Sample-266	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	175	synthetic	run 266	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib01_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib01_direct.raw	synthetic
PXD000759-Sample-267	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	176	synthetic	run 267	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib55_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib55_IMAC.raw	synthetic
PXD000759-Sample-268	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	177	synthetic	run 268	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib80_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib80_IMAC.raw	synthetic
PXD000759-Sample-269	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	178	synthetic	run 269	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib59_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib59_IMAC.raw	synthetic
PXD000759-Sample-27	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	179	synthetic	run 27	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib74_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib74_IMAC.raw	synthetic
PXD000759-Sample-270	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	180	synthetic	run 270	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib81_IMAC_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib81_IMAC_2.raw	synthetic
PXD000759-Sample-271	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	181	synthetic	run 271	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib60_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib60_direct.raw	synthetic
PXD000759-Sample-272	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	182	synthetic	run 272	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib62_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib62_TiO2.raw	synthetic
PXD000759-Sample-273	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	183	synthetic	run 273	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib03_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib03_direct.raw	synthetic
PXD000759-Sample-274	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	184	synthetic	run 274	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib58_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib58_direct.raw	synthetic
PXD000759-Sample-275	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	185	synthetic	run 275	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib46_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib46_IMAC.raw	synthetic
PXD000759-Sample-276	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	186	synthetic	run 276	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib43_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib43_IMAC.raw	synthetic
PXD000759-Sample-277	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	187	synthetic	run 277	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib17_TiO2_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib17_TiO2_2.raw	synthetic
PXD000759-Sample-278	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	188	synthetic	run 278	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib56_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib56_IMAC.raw	synthetic
PXD000759-Sample-279	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	189	synthetic	run 279	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib78_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib78_direct.raw	synthetic
PXD000759-Sample-28	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	190	synthetic	run 28	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib92_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib92_direct.raw	synthetic
PXD000759-Sample-280	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	191	synthetic	run 280	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib17_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib17_TiO2.raw	synthetic
PXD000759-Sample-281	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	192	synthetic	run 281	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib60_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib60_TiO2.raw	synthetic
PXD000759-Sample-282	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	193	synthetic	run 282	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib62_TiO2_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib62_TiO2_2.raw	synthetic
PXD000759-Sample-284	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	194	synthetic	run 284	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib31_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib31_direct.raw	synthetic
PXD000759-Sample-285	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	195	synthetic	run 285	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib14_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib14_TiO2.raw	synthetic
PXD000759-Sample-286	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	196	synthetic	run 286	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib86_IMAC_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib86_IMAC_2.raw	synthetic
