source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[batch]	characteristics[Batch.Injection]	characteristics[Sample.Type]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	factor value[organism part]
PXD039023-Sample 538	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	236	biological	run 538	proteomic profiling by mass spectrometry	236_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/236_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 539	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	237	MS.QC	run 539	proteomic profiling by mass spectrometry	237_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/237_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 540	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	238	biological	run 540	proteomic profiling by mass spectrometry	238_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/238_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 541	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	239	biological	run 541	proteomic profiling by mass spectrometry	239_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/239_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 542	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	240	control	run 542	proteomic profiling by mass spectrometry	240_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/240_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 543	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	241	control	run 543	proteomic profiling by mass spectrometry	241_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/241_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 544	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	242	biological	run 544	proteomic profiling by mass spectrometry	242_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/242_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 545	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	243	biological	run 545	proteomic profiling by mass spectrometry	243_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/243_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 546	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	244	biological	run 546	proteomic profiling by mass spectrometry	244_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/244_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 547	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	245	control	run 547	proteomic profiling by mass spectrometry	245_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/245_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 548	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	246	control	run 548	proteomic profiling by mass spectrometry	246_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/246_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 549	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	247	MS.QC	run 549	proteomic profiling by mass spectrometry	247_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/247_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 550	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	249	biological	run 550	proteomic profiling by mass spectrometry	249_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/249_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 551	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	250	control	run 551	proteomic profiling by mass spectrometry	250_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/250_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 552	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	251	biological	run 552	proteomic profiling by mass spectrometry	251_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/251_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 553	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	252	biological	run 553	proteomic profiling by mass spectrometry	252_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/252_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 554	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	253	control	run 554	proteomic profiling by mass spectrometry	253_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/253_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 555	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	254	biological	run 555	proteomic profiling by mass spectrometry	254_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/254_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 556	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	255	biological	run 556	proteomic profiling by mass spectrometry	255_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/255_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 557	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	256	biological	run 557	proteomic profiling by mass spectrometry	256_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/256_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 558	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	257	biological	run 558	proteomic profiling by mass spectrometry	257_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/257_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 559	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	258	MS.QC	run 559	proteomic profiling by mass spectrometry	258_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/258_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 560	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	259	biological	run 560	proteomic profiling by mass spectrometry	259_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/259_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 561	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	260	biological	run 561	proteomic profiling by mass spectrometry	260_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/260_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 562	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	261	control	run 562	proteomic profiling by mass spectrometry	261_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/261_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 563	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	262	control	run 563	proteomic profiling by mass spectrometry	262_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/262_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 564	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	263	control	run 564	proteomic profiling by mass spectrometry	263_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/263_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 565	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	264	biological	run 565	proteomic profiling by mass spectrometry	264_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/264_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 566	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	265	biological	run 566	proteomic profiling by mass spectrometry	265_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/265_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 567	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	266	biological	run 567	proteomic profiling by mass spectrometry	266_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/266_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 568	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	2	267	MS.QC	run 568	proteomic profiling by mass spectrometry	267_batch2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/267_batch2.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 569	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	3	1	biological	run 569	proteomic profiling by mass spectrometry	1_batch3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/1_batch3.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 570	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	3	2	biological	run 570	proteomic profiling by mass spectrometry	2_batch3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/2_batch3.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 571	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	3	3	biological	run 571	proteomic profiling by mass spectrometry	3_batch3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/3_batch3.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
