source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[separation]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005200-Sample-78	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 78	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O99.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O99.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	48 ppm	0.5 Da	erythrocyte
PXD005200-Sample-79	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 79	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q28.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	49 ppm	0.5 Da	erythrocyte
PXD005200-Sample-80	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 80	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q29.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	50 ppm	0.5 Da	erythrocyte
PXD005200-Sample-81	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 81	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q30.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	51 ppm	0.5 Da	erythrocyte
PXD005200-Sample-82	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 82	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q31.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	52 ppm	0.5 Da	erythrocyte
PXD005200-Sample-83	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 83	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q32.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	53 ppm	0.5 Da	erythrocyte
PXD005200-Sample-84	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 84	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q33.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	54 ppm	0.5 Da	erythrocyte
PXD005200-Sample-85	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 85	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q34.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	55 ppm	0.5 Da	erythrocyte
PXD005200-Sample-86	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 86	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q35.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	56 ppm	0.5 Da	erythrocyte
PXD005200-Sample-87	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 87	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q36.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	57 ppm	0.5 Da	erythrocyte
PXD005200-Sample-88	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 88	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q37.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	58 ppm	0.5 Da	erythrocyte
PXD005200-Sample-89	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 89	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q38.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	59 ppm	0.5 Da	erythrocyte
PXD005200-Sample-90	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 90	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q39.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	60 ppm	0.5 Da	erythrocyte
PXD005200-Sample-91	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 91	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q40.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	61 ppm	0.5 Da	erythrocyte
PXD005200-Sample-92	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 92	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q41.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	62 ppm	0.5 Da	erythrocyte
PXD005200-Sample-93	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 93	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q42.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	63 ppm	0.5 Da	erythrocyte
PXD005200-Sample-94	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 94	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q43.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	64 ppm	0.5 Da	erythrocyte
PXD005200-Sample-95	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 95	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q44.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q44.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	65 ppm	0.5 Da	erythrocyte
PXD005200-Sample-96	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 96	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_Q45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_Q45.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	66 ppm	0.5 Da	erythrocyte
