Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]
PXD030671-Sample 19	Homo sapiens	chromatin-bound proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 7	proteomic profiling by mass spectrometry	NEB_CBP_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F1.raw	1	1	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|chromatin-bound proteins
PXD030671-Sample 20	Homo sapiens	chromatin-bound proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 7	proteomic profiling by mass spectrometry	NEB_CBP_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F1.raw	1	1	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|chromatin-bound proteins
PXD030671-Sample 21	Homo sapiens	chromatin-bound proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 7	proteomic profiling by mass spectrometry	NEB_CBP_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F1.raw	1	1	TMT131N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|chromatin-bound proteins
PXD030671-Sample 22	Homo sapiens	cytoplasm	not available	not available	Pool	not available	not available	not applicable	1	tissue	run 7	proteomic profiling by mass spectrometry	NEB_CBP_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F1.raw	1	1	TMT131C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	Norm
PXD030671-Sample 12	Homo sapiens	nuclear proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|nuclear proteins
PXD030671-Sample 13	Homo sapiens	nuclear proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|nuclear proteins
PXD030671-Sample 14	Homo sapiens	nuclear proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|nuclear proteins
PXD030671-Sample 15	Homo sapiens	nuclear proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|nuclear proteins
PXD030671-Sample 16	Homo sapiens	nuclear proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|nuclear proteins
PXD030671-Sample 17	Homo sapiens	chromatin-bound proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|chromatin-bound proteins
PXD030671-Sample 18	Homo sapiens	chromatin-bound proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|chromatin-bound proteins
PXD030671-Sample 19	Homo sapiens	chromatin-bound proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|chromatin-bound proteins
PXD030671-Sample 20	Homo sapiens	chromatin-bound proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|chromatin-bound proteins
PXD030671-Sample 21	Homo sapiens	chromatin-bound proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT131N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|chromatin-bound proteins
PXD030671-Sample 22	Homo sapiens	cytoplasm	not available	not available	Pool	not available	not available	not applicable	1	tissue	run 8	proteomic profiling by mass spectrometry	NEB_CBP_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F2.raw	1	2	TMT131C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	Norm
PXD030671-Sample 12	Homo sapiens	nuclear proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|nuclear proteins
PXD030671-Sample 13	Homo sapiens	nuclear proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|nuclear proteins
PXD030671-Sample 14	Homo sapiens	nuclear proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|nuclear proteins
PXD030671-Sample 15	Homo sapiens	nuclear proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|nuclear proteins
PXD030671-Sample 16	Homo sapiens	nuclear proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|nuclear proteins
PXD030671-Sample 17	Homo sapiens	chromatin-bound proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|chromatin-bound proteins
PXD030671-Sample 18	Homo sapiens	chromatin-bound proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|chromatin-bound proteins
PXD030671-Sample 19	Homo sapiens	chromatin-bound proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|chromatin-bound proteins
PXD030671-Sample 20	Homo sapiens	chromatin-bound proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|chromatin-bound proteins
PXD030671-Sample 21	Homo sapiens	chromatin-bound proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT131N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|chromatin-bound proteins
PXD030671-Sample 22	Homo sapiens	cytoplasm	not available	not available	Pool	not available	not available	not applicable	1	tissue	run 9	proteomic profiling by mass spectrometry	NEB_CBP_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F3.raw	1	3	TMT131C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	Norm
PXD030671-Sample 12	Homo sapiens	nuclear proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|nuclear proteins
PXD030671-Sample 13	Homo sapiens	nuclear proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|nuclear proteins
PXD030671-Sample 14	Homo sapiens	nuclear proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|nuclear proteins
PXD030671-Sample 15	Homo sapiens	nuclear proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|nuclear proteins
PXD030671-Sample 16	Homo sapiens	nuclear proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|nuclear proteins
PXD030671-Sample 17	Homo sapiens	chromatin-bound proteins	not available	not available	KM12C	not available	not available	non-metastatic CRC	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12C|chromatin-bound proteins
PXD030671-Sample 18	Homo sapiens	chromatin-bound proteins	not available	not available	KM12SM	not available	not available	liver CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12SM|chromatin-bound proteins
PXD030671-Sample 19	Homo sapiens	chromatin-bound proteins	not available	not available	KM12L4a	not available	not available	liver and lung CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	KM12L4a|chromatin-bound proteins
PXD030671-Sample 20	Homo sapiens	chromatin-bound proteins	not available	not available	SW480	not available	not available	non-metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW480|chromatin-bound proteins
PXD030671-Sample 21	Homo sapiens	chromatin-bound proteins	not available	not available	SW620	not available	not available	lymph nodes CRC metastatic	1	tissue	run 10	proteomic profiling by mass spectrometry	NEB_CBP_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD030671/NEB_CBP_F4.raw	1	4	TMT131N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	AC=MS:1001313;NT=Trypsin/P	4.5 ppm	0.003 Da	SW620|chromatin-bound proteins
