Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[metastasis site]	Sample Characteristic Ontology Term[metastasis site]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR912730	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ES1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	female	http://purl.obolibrary.org/obo/PATO_0000383			ES1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR912731	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-12		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	female	http://purl.obolibrary.org/obo/PATO_0000383			EW-12		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR912732	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-3		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	male	http://purl.obolibrary.org/obo/PATO_0000384			EW-3		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR912733	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Sarc9371		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				Sarc9371		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR948398	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ALL-PO	http://purl.obolibrary.org/obo/CLO_0001705	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	female	http://purl.obolibrary.org/obo/PATO_0000383			ALL-PO	http://purl.obolibrary.org/obo/CLO_0001705	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR948399	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ATN-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	T-cell leukemia	http://www.ebi.ac.uk/efo/EFO_0005592	not available				ATN-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	T-cell leukemia	http://www.ebi.ac.uk/efo/EFO_0005592	Yes
ERR948400	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BALL-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	not available				BALL-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR948401	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BB30-HNC		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	female	http://purl.obolibrary.org/obo/PATO_0000383			BB30-HNC		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR956019	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BB49-HNC		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	female	http://purl.obolibrary.org/obo/PATO_0000383			BB49-HNC		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR956020	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BC-1	http://www.ebi.ac.uk/efo/EFO_0002044	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			BC-1	http://www.ebi.ac.uk/efo/EFO_0002044	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR956021	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BC-3	http://www.ebi.ac.uk/efo/EFO_0002046	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			BC-3	http://www.ebi.ac.uk/efo/EFO_0002046	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR956022	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BE-13		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	female	http://purl.obolibrary.org/obo/PATO_0000383			BE-13		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR956023	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BE2-M17		brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	BE2-M17		brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR956024	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Becker		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	male	http://purl.obolibrary.org/obo/PATO_0000384			Becker		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR956025	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR10	http://purl.obolibrary.org/obo/CLO_0009941	mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	female	http://purl.obolibrary.org/obo/PATO_0000383			BICR10	http://purl.obolibrary.org/obo/CLO_0009941	mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR956026	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR78		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	male	http://purl.obolibrary.org/obo/PATO_0000384			BICR78		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR956027	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BONNA-12		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	hairy cell leukemia	http://www.ebi.ac.uk/efo/EFO_1000956	male	http://purl.obolibrary.org/obo/PATO_0000384			BONNA-12		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	hairy cell leukemia	http://www.ebi.ac.uk/efo/EFO_1000956	Yes
ERR956028	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BPH-1		prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	male	http://purl.obolibrary.org/obo/PATO_0000384			BPH-1		prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	Yes
ERR956029	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C-33-A	http://www.ebi.ac.uk/efo/EFO_0002120	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383			C-33-A	http://www.ebi.ac.uk/efo/EFO_0002120	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR956030	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C3A	http://www.ebi.ac.uk/efo/EFO_0002121	liver	http://purl.obolibrary.org/obo/UBERON_0002107	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	male	http://purl.obolibrary.org/obo/PATO_0000384			C3A	http://www.ebi.ac.uk/efo/EFO_0002121	liver	http://purl.obolibrary.org/obo/UBERON_0002107	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
ERR956031	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C-4-I		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383			C-4-I		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR956032	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Ca9-22		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	male	http://purl.obolibrary.org/obo/PATO_0000384			Ca9-22		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR956033	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-39	http://purl.obolibrary.org/obo/CLO_0002184	vulva	http://purl.obolibrary.org/obo/UBERON_0000997	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	female	http://purl.obolibrary.org/obo/PATO_0000383			CAL-39	http://purl.obolibrary.org/obo/CLO_0002184	vulva	http://purl.obolibrary.org/obo/UBERON_0000997	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR956034	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Ca-Ski	http://purl.obolibrary.org/obo/CLO_0002165	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	female	http://purl.obolibrary.org/obo/PATO_0000383			Ca-Ski	http://purl.obolibrary.org/obo/CLO_0002165	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	Yes
ERR956035	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CCRF-CEM		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	female	http://purl.obolibrary.org/obo/PATO_0000383			CCRF-CEM		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR956036	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CESS	http://www.ebi.ac.uk/efo/EFO_0002130	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myelomonocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000223	male	http://purl.obolibrary.org/obo/PATO_0000384			CESS	http://www.ebi.ac.uk/efo/EFO_0002130	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myelomonocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000223	Yes
ERR956037	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHP-134		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	male	http://purl.obolibrary.org/obo/PATO_0000384			CHP-134		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	Yes
ERR956038	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CRO-AP2		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			CRO-AP2		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR956039	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CRO-AP3		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			CRO-AP3		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR956040	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-502MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain glioma	http://www.ebi.ac.uk/efo/EFO_0005543	not available				D-502MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain glioma	http://www.ebi.ac.uk/efo/EFO_0005543	Yes
ERR964215	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CTB-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			CTB-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR964216	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CTV-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myelomonocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000223	male	http://purl.obolibrary.org/obo/PATO_0000384			CTV-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myelomonocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000223	Yes
ERR964217	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-247MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-247MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964218	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-263MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-263MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964219	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-336MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain glioma	http://www.ebi.ac.uk/efo/EFO_0005543	not available				D-336MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain glioma	http://www.ebi.ac.uk/efo/EFO_0005543	Yes
ERR964220	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-392MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-392MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964221	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-423MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-423MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964222	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-542MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-542MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964223	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	D-566MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	not available				D-566MG		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR964224	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DG-75		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	male	http://purl.obolibrary.org/obo/PATO_0000384			DG-75		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR964225	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DOK	http://www.ebi.ac.uk/efo/EFO_0006564	mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	male	http://purl.obolibrary.org/obo/PATO_0000384			DOK	http://www.ebi.ac.uk/efo/EFO_0006564	mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR964226	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DoTc2-4510		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	female	http://purl.obolibrary.org/obo/PATO_0000383			DoTc2-4510		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	Yes
ERR964227	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DOV13		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	female	http://purl.obolibrary.org/obo/PATO_0000383			DOV13		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR964228	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DSH1		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	male	http://purl.obolibrary.org/obo/PATO_0000384			DSH1		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
ERR964229	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EB2	http://www.ebi.ac.uk/efo/EFO_0002173	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	female	http://purl.obolibrary.org/obo/PATO_0000383			EB2	http://www.ebi.ac.uk/efo/EFO_0002173	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR964230	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EB-3	http://www.ebi.ac.uk/efo/EFO_0002174	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	male	http://purl.obolibrary.org/obo/PATO_0000384			EB-3	http://www.ebi.ac.uk/efo/EFO_0002174	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR964231	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EGI-1		bile duct	http://purl.obolibrary.org/obo/UBERON_0002394	cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	male	http://purl.obolibrary.org/obo/PATO_0000384			EGI-1		bile duct	http://purl.obolibrary.org/obo/UBERON_0002394	cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	Yes
ERR964232	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EoL-1-cell		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	eosinophilic leukemia	http://www.ebi.ac.uk/efo/EFO_1000178	male	http://purl.obolibrary.org/obo/PATO_0000384			EoL-1-cell		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	eosinophilic leukemia	http://www.ebi.ac.uk/efo/EFO_1000178	Yes
ERR964233	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ESO26		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	male	http://purl.obolibrary.org/obo/PATO_0000384			ESO26		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	Yes
ERR964234	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ESO51		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	male	http://purl.obolibrary.org/obo/PATO_0000384			ESO51		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	Yes
ERR964235	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ETK-1		bile duct	http://purl.obolibrary.org/obo/UBERON_0002394	cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	female	http://purl.obolibrary.org/obo/PATO_0000383			ETK-1		bile duct	http://purl.obolibrary.org/obo/UBERON_0002394	cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	Yes
ERR964236	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Farage	http://www.ebi.ac.uk/efo/EFO_0006393	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	Farage	http://www.ebi.ac.uk/efo/EFO_0006393	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR964237	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	FLO-1		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	male	http://purl.obolibrary.org/obo/PATO_0000384			FLO-1		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	Yes
ERR964238	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GEO		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available				GEO		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR964239	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GI-ME-N		brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	GI-ME-N		brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR964240	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GOTO		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	male	http://purl.obolibrary.org/obo/PATO_0000384			GOTO		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	Yes
ERR964241	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GR-ST		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	male	http://purl.obolibrary.org/obo/PATO_0000384			GR-ST		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR964242	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GT3TKB		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	male	http://purl.obolibrary.org/obo/PATO_0000384			GT3TKB		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR964243	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H3118		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	salivary gland neoplasm	http://www.ebi.ac.uk/efo/EFO_0003826	female	http://purl.obolibrary.org/obo/PATO_0000383			H3118		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	salivary gland neoplasm	http://www.ebi.ac.uk/efo/EFO_0003826	Yes
ERR964244	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H9		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	male	http://purl.obolibrary.org/obo/PATO_0000384			H9		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	Yes
