Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413669	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-510	http://www.ebi.ac.uk/efo/EFO_0006631	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974			esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	67 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		KYSE-510	http://www.ebi.ac.uk/efo/EFO_0006631	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR413670	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-520	http://www.ebi.ac.uk/efo/EFO_0006632	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	58 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		KYSE-520	http://www.ebi.ac.uk/efo/EFO_0006632	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR413671	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-70	http://www.ebi.ac.uk/efo/EFO_0006633	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	77 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		KYSE-70	http://www.ebi.ac.uk/efo/EFO_0006633	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR413672	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	L-363	http://www.ebi.ac.uk/efo/EFO_0006450	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	not available		not available		not available		RPMI-1640, 10% Heat Inactivated FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		L-363	http://www.ebi.ac.uk/efo/EFO_0006450	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	Yes
ERR413673	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LCLC-103H	http://www.ebi.ac.uk/efo/EFO_0006634	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	61 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LCLC-103H	http://www.ebi.ac.uk/efo/EFO_0006634	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
ERR413674	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LCLC-97TM1	http://www.ebi.ac.uk/efo/EFO_0006635	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	44 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 20% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LCLC-97TM1	http://www.ebi.ac.uk/efo/EFO_0006635	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
ERR413675	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LN-18	http://www.ebi.ac.uk/efo/EFO_0006636	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		LN-18	http://www.ebi.ac.uk/efo/EFO_0006636	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	Yes
ERR413676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LN-229	http://www.ebi.ac.uk/efo/EFO_0006637	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		LN-229	http://www.ebi.ac.uk/efo/EFO_0006637	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	Yes
ERR413677	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LNCAP	http://www.ebi.ac.uk/efo/EFO_0002071	other		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	50 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LNCAP	http://www.ebi.ac.uk/efo/EFO_0002071	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Yes
ERR413678	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LOU-NH91	http://www.ebi.ac.uk/efo/EFO_0006638	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	64 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LOU-NH91	http://www.ebi.ac.uk/efo/EFO_0006638	lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR413679	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LoVo	http://www.ebi.ac.uk/efo/EFO_0006639	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	56 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LoVo	http://www.ebi.ac.uk/efo/EFO_0006639	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413680	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LOX-IMVI	http://www.ebi.ac.uk/efo/EFO_0006284	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LOX-IMVI	http://www.ebi.ac.uk/efo/EFO_0006284	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413681	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LP-1	http://www.ebi.ac.uk/efo/EFO_0003055	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	56 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LP-1	http://www.ebi.ac.uk/efo/EFO_0003055	blood	http://purl.obolibrary.org/obo/UBERON_0000178	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
ERR413682	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS 174T	http://www.ebi.ac.uk/efo/EFO_0002227	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LS 174T	http://www.ebi.ac.uk/efo/EFO_0002227	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413683	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS 180	http://www.ebi.ac.uk/efo/EFO_0006640	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	58 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		LS 180	http://www.ebi.ac.uk/efo/EFO_0006640	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413684	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS1034	http://www.ebi.ac.uk/efo/EFO_0002226	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	caecum	http://purl.obolibrary.org/obo/UBERON_0001153	cecum carcinoma	http://www.ebi.ac.uk/efo/EFO_1000021	54 year		not available		Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		LS1034	http://www.ebi.ac.uk/efo/EFO_0002226	caecum	http://purl.obolibrary.org/obo/UBERON_0001153	cecum carcinoma	http://www.ebi.ac.uk/efo/EFO_1000021	Yes
ERR413685	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LXF-289	http://www.ebi.ac.uk/efo/EFO_0006641	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	63 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		Ham's F10, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LXF-289	http://www.ebi.ac.uk/efo/EFO_0006641	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413686	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LXFL529	http://www.ebi.ac.uk/efo/EFO_0006642	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		LXFL529	http://www.ebi.ac.uk/efo/EFO_0006642	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413687	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M059J	http://www.ebi.ac.uk/efo/EFO_0005697	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	33 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA		Complete growth medium, 90%; DMSO, 10%		M059J	http://www.ebi.ac.uk/efo/EFO_0005697	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR413688	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M059K	http://www.ebi.ac.uk/efo/EFO_0006451	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	33 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA		Complete growth medium, 90%; DMSO, 10%		M059K	http://www.ebi.ac.uk/efo/EFO_0006451	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR413689	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MC116	http://www.ebi.ac.uk/efo/EFO_0002228	lymphoid		ascites	http://purl.obolibrary.org/obo/HP_0001541	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	not available		not available		not available		RPMI-1640 20% HI FBS, 2mM Glutamine		Complete growth medium, 90%; DMSO, 10%		MC116	http://www.ebi.ac.uk/efo/EFO_0002228	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	Yes
ERR413690	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCAS	http://www.ebi.ac.uk/efo/EFO_0006453	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MCAS	http://www.ebi.ac.uk/efo/EFO_0006453	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR413691	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone		50% FBS, 40% complete media, 10% DMSO		MCF 10A	http://www.ebi.ac.uk/efo/EFO_0001200	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	Yes
ERR413692	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	40 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413693	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF10DCIS.com	http://www.ebi.ac.uk/efo/EFO_0006643	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal carcinoma in situ	http://www.ebi.ac.uk/efo/EFO_0000432	not available		not available		not available		DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone		50% FBS, 40% complete media, 10% DMSO		MCF10DCIS.com	http://www.ebi.ac.uk/efo/EFO_0006643	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal carcinoma in situ	http://www.ebi.ac.uk/efo/EFO_0000432	Yes
ERR413694	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-134-VI	http://www.ebi.ac.uk/efo/EFO_0001205	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	47 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 20% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-134-VI	http://www.ebi.ac.uk/efo/EFO_0001205	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ERR413695	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-157	http://www.ebi.ac.uk/efo/EFO_0001206	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast medullary carcinoma	http://www.ebi.ac.uk/efo/EFO_0000580	44 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	DMEM, 20%FBS, 2mM L-glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-157	http://www.ebi.ac.uk/efo/EFO_0001206	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast medullary carcinoma	http://www.ebi.ac.uk/efo/EFO_0000580	Yes
ERR413696	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-175-VII	http://www.ebi.ac.uk/efo/EFO_0001208	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	56 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-175-VII	http://www.ebi.ac.uk/efo/EFO_0001208	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413697	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-231	http://www.ebi.ac.uk/efo/EFO_0001209	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	51 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-231	http://www.ebi.ac.uk/efo/EFO_0001209	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	No
ERR413698	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-330	http://www.ebi.ac.uk/efo/EFO_0006454	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	43 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-330	http://www.ebi.ac.uk/efo/EFO_0006454	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	No
ERR413699	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-361	http://www.ebi.ac.uk/efo/EFO_0001211	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	not available		not available		not available		Leibovitz's L-15 Medium, 20% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-361	http://www.ebi.ac.uk/efo/EFO_0001211	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413700	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-415	http://www.ebi.ac.uk/efo/EFO_0001212	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	38 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-415	http://www.ebi.ac.uk/efo/EFO_0001212	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413701	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-435	http://www.ebi.ac.uk/efo/EFO_0001213	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		DMEM, 10% FBS, 2mM Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-435	http://www.ebi.ac.uk/efo/EFO_0001213	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413702	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-436	http://www.ebi.ac.uk/efo/EFO_0001214	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	43 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-436	http://www.ebi.ac.uk/efo/EFO_0001214	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413703	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-453	http://www.ebi.ac.uk/efo/EFO_0001215	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pericardial		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		MDA-MB-453	http://www.ebi.ac.uk/efo/EFO_0001215	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
