cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
A2780	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma; ovarian carcinoma; Ovarian Endometrioid Adenocarcinoma	not available		female	no available	
A-375	Homo sapiens	skin	amelanotic melanoma; melanoma	not available	no available	female	no available	no available
A3/KAW	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; lymphoma	not available	no available	not available	no available	no available
SNU-81	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	male	no available	no available
SNU-761	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
SNU-61	Homo sapiens	large intestine	rectal adenocarcinoma	no available	no available	no available	no available	no available
SNU-601	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric carcinoma	34 year	no available	male	no available	no available
SNU-626	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SNU-620	Homo sapiens	stomach	gastric adenocarcinoma; gastric carcinoma	59 year	no available	female	no available	no available
RPMI 8226	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
SNU-668	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric carcinoma	68 year	no available	male	no available	no available
SNU-738	Homo sapiens	central nervous system	oligodendroglioma	no available	no available	no available	no available	no available
SNU-719	Homo sapiens	stomach	gastric tubular adenocarcinoma; gastric carcinoma	53 year	no available	male	no available	no available
HT55	Homo sapiens	large intestine	colon carcinoma; colorectal adenocarcinoma	no available	no available	not available	no available	no available
KYSE-150	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	49 year	no available	female	no available	no available
KYSE-140	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	50 year	no available	male	no available	no available
KYSE-270	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	79 year	no available	male	no available	no available
KYSE-180	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	53 year	no available	male	no available	no available
KYSE-410	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
KYSE-30	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	64 year	no available	male	no available	no available
HSC-2	Homo sapiens	upper digestive tract	oral squamous cell carcinoma	no available	no available	no available	no available	no available
HSC-3	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
HSC-4	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
HT-1080	Homo sapiens	soft tissue	fibrosarcoma; lung fibrosarcoma	35 year	no available	male	no available	no available
HT115	Homo sapiens	large intestine	colon carcinoma	no available	no available	no available	no available	no available
HT-1197	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
HT-1376	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
HT-144	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
SK-MEL-1	Homo sapiens	skin	melanoma; metastatic melanoma	29 year	no available	male	no available	no available
SK-MEL-24	Homo sapiens	skin	melanoma	67 year	no available	male	no available	no available
SK-LU-1	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
SKM-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; myelodysplasia	not available	no available	not available	no available	no available
SK-MEL-31	Homo sapiens	skin	melanoma	not available	no available	female	no available	no available
SK-MEL-3	Homo sapiens	skin	melanoma	42 year	no available	female	no available	no available
SK-MEL-30	Homo sapiens	skin	cutaneous melanoma; melanoma	67 year	no available	male	no available	no available
SK-MES-1	Homo sapiens	lung	squamous cell lung carcinoma	65 year	no available	male	no available	no available
SW403	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
SW480	Homo sapiens	large intestine; colon	colon adenocarcinoma	50	adult	male	no available	
MOLT-16	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
MOLT-13	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
NCI-H1623	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	58 year	no available	male	no available	no available
MOLM-6	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
MOLM-16	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	no available	female	no available	no available
MOLP-8	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	52 year	no available	male	no available	no available
MOLP-2	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	55 year	no available	male	no available	no available
ML-1	Homo sapiens	thyroid gland	follicular thyroid carcinoma	no available	no available	no available	no available	no available
MKN7	Homo sapiens	stomach	gastric tubular adenocarcinoma	no available	no available	no available	no available	no available
MOLM-13	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	no available	no available	no available	no available	no available
MM1-S	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
KP-N-SI9s	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
KP-N-YN	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
KS-1	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
KU-19-19	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
KP4	Homo sapiens	pancreas	pancreatic carcinoma; pancreatic in situ ductal carcinoma	50 year	no available	male	no available	no available
KPL-1	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast ductal adenocarcinoma; breast carcinoma	not available	adult	female	no available	
KP-MRT-RY	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	no available	no available	no available	no available	no available
KP-N-RT-BM-1	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
ChaGo-K-1	Homo sapiens	lung	bronchogenic carcinoma; lung carcinoma	45 year	no available	male	no available	no available
KU812	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia	not available	no available	male; not available	no available	no available
KURAMOCHI	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian carcinoma	not available	adult	not available; female	no available	no available
CH-157MN	Homo sapiens	central nervous system	meningioma	no available	no available	no available	no available	no available
CHP-212	Homo sapiens	autonomic ganglion	neuroblastoma	not available	no available	not available	no available	no available
Toledo	Homo sapiens	hematopoietic system and lymphoid system; blood	diffuse large B-cell lymphoma; B-cell lymphoma	not available	adult	female	no available	
TOV-112D	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma; endometrioid adenocarcinoma; Ovarian Endometrioid Adenocarcinoma	42 year	adult	female	no available	no available
Tm87-16	Homo sapiens	soft tissue	extrarenal rhabdoid tumor	no available	no available	no available	no available	no available
TO 175.T	Homo sapiens	fibroblast	Hodgkins lymphoma	no available	no available	no available	no available	no available
TIG-3 TD	Homo sapiens	fibroblast	normal cell line	no available	no available	no available	no available	no available
TM-31	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
SH-4	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
THP-1	Homo sapiens	hematopoietic system and lymphoid system; blood	childhood acute monocytic leukemia; acute monocytic leukemia	1 year	infant	male	no available	
TEN	Homo sapiens	endometrium	endometrial carcinoma	no available	no available	no available	no available	no available
TF-1	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	no available	no available	no available	no available	no available
RKN	Homo sapiens	soft tissue	ovarian leiomyosarcoma	45 year	no available	female	no available	no available
SCC-9	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	25 year	no available	male	no available	no available
SCLC-21H	Homo sapiens	lung	small cell lung carcinoma	46 year	no available	male	no available	no available
SCC-25	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	no available	not available	no available	no available
SCC-4	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
SCaBER	Homo sapiens	urinary tract	bladder squamous cell carcinoma	no available	no available	no available	no available	no available
SCC-15	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	no available	not available	no available	no available
Saos-2	Homo sapiens	bone	osteosarcoma	no available	no available	no available	no available	no available
SBC-5	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
LC-1F	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
SALE	Homo sapiens	lung	normal cell line	no available	no available	no available	no available	no available
NCI-H2342	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H2291	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H2171	Homo sapiens	lung	small cell lung carcinoma	50 year	no available	male	no available	no available
NCI-H2170	Homo sapiens	lung	squamous cell lung carcinoma; squamous cell carcinoma	not available	no available	male	no available	no available
NCI-H2196	Homo sapiens	lung	small cell lung carcinoma	67 year	no available	male	no available	no available
NCI-H2172	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	female	no available	no available
NCI-H2228	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	female	no available	no available
NCI-H2227	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H2286	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
LCLC-103H	Homo sapiens	lung	large cell lung carcinoma	61 year	no available	male	no available	no available
BICR 6	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma	no available	no available	no available	no available	no available
BICR 56	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
BL-70	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	no available	no available	no available	no available	no available
BL-41	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	no available	no available	no available	no available	no available
BICR 18	Homo sapiens	upper digestive tract	oral squamous cell carcinoma	no available	no available	no available	no available	no available
BICR 16	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
BICR 31	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	no available	not available	no available	no available
BICR 22	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	no available	not available	no available	no available
BT-20	Homo sapiens	breast	invasive ductal carcinoma; breast carcinoma	74 year	no available	female	no available	no available
BT-12	Homo sapiens	soft tissue	atypical teratoid rhabdoid tumor	no available	no available	no available	no available	no available
HMCB	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
HMC-1-8	Homo sapiens	breast	breast carcinoma	no available	no available	no available	no available	no available
TE-9	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
Hep G2	Homo sapiens	liver	hepatoblastoma; hepatocellular carcinoma	15 year	no available	male	no available	no available
Hep 3B2.1-7	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
HGC-27	Homo sapiens	stomach	gastric carcinoma	not available	no available	not available	no available	no available
Hey-A8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
HH	Homo sapiens	hematopoietic system and lymphoid system	cutaneous T-cell lymphoma	no available	no available	no available	no available	no available
HLF	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
HLF-a	Homo sapiens	fibroblast	squamous cell lung carcinoma	no available	no available	no available	no available	no available
CI-1	Homo sapiens	hematopoietic system and lymphoid system	B-cell non-Hodgkins lymphoma; non-Hodgkin's lymphoma	38 year	no available	female	no available	no available
CJM	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
CL-11	Homo sapiens	large intestine	colon adenocarcinoma; colon carcinoma	not available	no available	not available	no available	no available
CL-14	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
CL-34	Homo sapiens	large intestine	colon adenocarcinoma	not available	no available	female	no available	no available
CL-40	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	no available	female	no available	no available
CMK	Homo sapiens	hematopoietic system and lymphoid system	childhood acute megakaryoblastic leukemia	no available	no available	no available	no available	no available
CML-T1	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	no available	no available	female	no available	no available
COLO 201	Homo sapiens	large intestine	colon adenocarcinoma	70 year	no available	male	no available	no available
COLO-320	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
SK-N-DZ	Homo sapiens	autonomic ganglion	neuroblastoma	2 year	no available	female	no available	no available
P31/FUJ	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	no available	no available	no available	no available	no available
P12-ICHIKAWA	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
Panc 02.03	Homo sapiens	pancreas	pancreatic adenocarcinoma	70 year	no available	female	no available	no available
P3HR-1	Homo sapiens	hematopoietic system and lymphoid system	Epstein-Barr virus-related Burkitt lymphoma	no available	no available	no available	no available	no available
NCI-H69	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H716	Homo sapiens	large intestine	cecum adenocarcinoma	not available	no available	male	no available	no available
OVTOKO	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	78 year	no available	female	no available	no available
OVSAHO	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian papillary serous adenocarcinoma	not available; 56	adult	not available; female	no available	
NCI-H650	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	male	no available	no available
NCI-H660	Homo sapiens	prostate	prostate carcinoma	no available	no available	no available	no available	no available
NCI-H661	Homo sapiens	lung	large cell lung carcinoma	no available	no available	male	no available	no available
NCI-H684	Homo sapiens	liver	colon adenocarcinoma	no available	no available	no available	no available	no available
NCI-H524	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H526	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H596	Homo sapiens	lung	adenosquamous lung carcinoma; lung adenosquamous carcinoma	73 year	no available	male	no available	no available
NCI-H647	Homo sapiens	lung	adenosquamous lung carcinoma	no available	no available	no available	no available	no available
697	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	no available	no available	no available	no available	no available
647-V	Homo sapiens	urinary tract	bladder transitional cell carcinoma	no available	no available	no available	no available	no available
253J	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
253J-BV	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
23132/87	Homo sapiens	stomach	gastric adenocarcinoma	72 year	no available	male	no available	no available
22Rv1	Homo sapiens	prostate	prostate carcinoma	no available	no available	no available	no available	no available
639-V	Homo sapiens	urinary tract	ureter urothelial carcinoma	no available	no available	no available	no available	no available
59M	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian carcinoma; ovarian serous adenocarcinoma	not available	adult	female	no available	no available
5637	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
42-MG-BA	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
HCC1954	Homo sapiens	breast	breast ductal adenocarcinoma	61 year	no available	female	no available	no available
HCC202	Homo sapiens	breast	breast ductal adenocarcinoma	82 year	no available	not available	no available	no available
HCC-15	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	48 year	no available	male	no available	no available
HCC1806	Homo sapiens	breast	squamous cell breast carcinoma, acantholytic variant; squamous cell breast carcinoma; breast squamous cell carcinoma	60 year	not available	female; not available	no available	no available
HCC-1833	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
HCC1937	Homo sapiens	breast	breast ductal adenocarcinoma	23 year	not available	female; not available	no available	no available
HCC1500	Homo sapiens	breast	breast ductal adenocarcinoma	32 year	no available	female	no available	no available
HCC1569	Homo sapiens	breast; mammary gland	breast ductal adenocarcinoma; breast metaplastic carcinoma; metaplastic breast carcinoma	70 year; 70	adult	female	no available	
HCC-1588	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
HCC1599	Homo sapiens	breast	breast ductal adenocarcinoma	44 year	not available	female; not available	no available	no available
Sq-1	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
LoVo	Homo sapiens	large intestine	colon adenocarcinoma	56 year	no available	male	no available	no available
LOX IMVI	Homo sapiens	skin	amelanotic melanoma	no available	no available	no available	no available	no available
NCI-H1563	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H146	Homo sapiens	lung	small cell lung carcinoma	not available	no available	male	no available	no available
NCI-H1573	Homo sapiens	lung	lung adenocarcinoma; adenocarcinoma	not available; 35	adult	not available; female	no available	
NCI-H1568	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	48 year	no available	female	no available	no available
NCI-H1618	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1581	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	44 year	no available	male	no available	no available
CA46	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	not available	no available	male	no available	no available
CACO2	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
BT-474	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	60 year	no available	female	no available	no available
BT-483	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	23 year	no available	female	no available	no available
BT-549	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	72 year	no available	female	no available	no available
BV-173	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	no available	no available	male	no available	no available
BxPC-3	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	61 year; 61	adult	female	no available	
C2BBe1	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	72 year	no available	male	no available	no available
C32	Homo sapiens	skin	amelanotic melanoma; melanoma	53 year	no available	male	no available	no available
C8166	Homo sapiens	hematopoietic system and lymphoid system	adult T-cell leukemia/lymphoma	no available	no available	no available	no available	no available
Hs 172.T	Homo sapiens	fibroblast	bladder carcinoma	no available	no available	no available	no available	no available
Hs 229.T	Homo sapiens	fibroblast	lung adenocarcinoma	no available	no available	no available	no available	no available
HOP-62	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	not available	no available	no available
HOP-92	Homo sapiens	lung	non-small cell lung carcinoma; large cell lung carcinoma	not available	no available	not available	no available	no available
HMEL	Homo sapiens	breast	normal cell line	no available	no available	no available	no available	no available
HNT-34	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	47 year	no available	female	no available	no available
HPAF-II	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	not available	no available	male	no available	no available
HPB-ALL	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
HOS	Homo sapiens	bone	osteosarcoma	no available	no available	no available	no available	no available
HPAC	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	no available	female	no available	no available
EWS502	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
EW8	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
FaDu	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma; nasopharyngeal squamous cell carcinoma	not available	no available	not available	no available	no available
F-36P	Homo sapiens	hematopoietic system and lymphoid system	myelodysplastic syndrome	no available	no available	no available	no available	no available
EPLC-272H	Homo sapiens	lung	pulmonary mucoepidermoid carcinoma; lung carcinoma	57 year	no available	male	no available	no available
EOL-1	Homo sapiens	hematopoietic system and lymphoid system	chronic eosinophilic leukemia	no available	no available	no available	no available	no available
ESS-1	Homo sapiens	endometrium	endometrial stromal sarcoma	no available	no available	no available	no available	no available
ES-2	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	47 year	no available	female	no available	no available
VM-CUB1	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
ZR-75-1	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast ductal adenocarcinoma	63 year; 63	adult	not available; female	no available	ZR75-1, ZR751
WM983B	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
WM-88	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
ZR-75-30	Homo sapiens	breast	invasive ductal carcinoma; ductal carcinoma; breast ductal adenocarcinoma	47 year	no available	female	no available	no available
VCaP	Homo sapiens	prostate; prostate gland	prostate carcinoma	59	adult	male	no available	
YAPC	Homo sapiens	pancreas	pancreatic carcinoma	43 year	no available	male	no available	no available
WSU-DLCL2	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; B-cell lymphoma	41 year	no available	male	no available	no available
YD-15	Homo sapiens	salivary gland	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
YD-10B	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
YD-8	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
YD-38	Homo sapiens	upper digestive tract	head and neck squamous cell carcinoma	no available	no available	no available	no available	no available
YKG1	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
YH-13	Homo sapiens	central nervous system	glioblastoma; glioblastoma multiforme	no available	no available	male	no available	no available
WM-266-4	Homo sapiens	skin; skin 	melanoma	58 year		female	no available	
VMRC-RCZ	Homo sapiens	kidney	renal cell carcinoma	no available	no available	not available	no available	no available
WM1799	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
VMRC-RCW	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
WM-115	Homo sapiens	skin	melanoma	58 year	no available	female	no available	no available
WM-793	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
RXF393	Homo sapiens	kidney	renal cancer; renal cell carcinoma	no available	no available	male	no available	no available
CAKI1	Homo sapiens	kidney	renal cancer	no available	no available	no available	no available	no available
SKMEL2	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
HT29	Homo sapiens	colon	colorectal cancer	no available	no available	no available	no available	no available
SKMEL5	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
HL60	Homo sapiens	blood	leukemia	no available	no available	no available	no available	no available
SKMEL28	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
H322M	Homo sapiens	lung	lung cancer	no available	no available	no available	no available	no available
UACC62	Homo sapiens	::	melanoma	no available	no available	no available	no available	no available
MALME3M	Homo sapiens		melanoma	no available	no available	no available	no available	no available
H522	Homo sapiens	lung	lung cancer	no available	no available	no available	no available	no available
TK10	Homo sapiens	kidney	renal cancer; renal cell carcinoma	no available	no available	male	no available	no available
UACC257	Homo sapiens		melanoma	no available	no available	no available	no available	no available
DU145	Homo sapiens	prostate	prostate cancer; prostate carcinoma	69	adult	male	no available	
MOLT4	Homo sapiens		leukemia	no available	no available	no available	no available	no available
H460	Homo sapiens	lung	lung cancer	no available	no available	no available	no available	no available
U251	Homo sapiens	brain	central nervous system cancer; glioblastoma multiforme	no available	no available	male	no available	no available
MDAMB468	Homo sapiens	breast; mammary gland	breast cancer; breast adenocarcinoma; adenocarcinoma		not available	not available	no available	
H226	Homo sapiens	lung	lung cancer	no available	no available	no available	no available	no available
MCF7ADR	Homo sapiens	ovary	ovarian cancer	no available	no available	no available	no available	no available
H23	Homo sapiens	lung	lung cancer	no available	no available	no available	no available	no available
PC3	Homo sapiens	prostate	prostate cancer	no available	no available	no available	no available	no available
SLVL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	no available	no available	female	no available	no available
WM35	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
ARH-77	Homo sapiens	hematopoietic system	plasma cell leukemia	no available	no available	female	no available	no available
SUP-HD1	Homo sapiens	hematopoietic system	Hodgkins lymphoma	no available	no available	male	no available	no available
DU-145	Homo sapiens	prostate gland	prostate adenocarcinoma	no available	no available	male	no available	no available
SW1088	Homo sapiens	brain	glioblastoma multiforme	no available	no available	male	no available	no available
SW1573	Homo sapiens	lung	non-small cell lung adenocarcinoma	no available	no available	female	no available	no available
U-266	Homo sapiens	hematopoietic system	multiple myeloma	no available	no available	male	no available	no available
VM-CUB-1	Homo sapiens	urinary bladder	bladder transitional cell carcinoma	no available	no available	male	no available	no available
SW1710	Homo sapiens	urinary bladder	bladder carcinoma	no available	no available	female	no available	no available
SW626	Homo sapiens	ovary	ovarian adenocarcinoma	no available	no available	female	no available	no available
SW780	Homo sapiens	urinary bladder	bladder carcinoma	no available	no available	female	no available	no available
TE-441-T	Homo sapiens	musculature	rhabdomyosarcoma	no available	no available	female	no available	no available
COLO-205	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	male	no available	no available
H2369	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2373	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2461	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2591	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2595	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2722	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2731	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2795	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2803	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2804	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2810	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2818	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H2869	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H290	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
H513	Homo sapiens	lung	mesothelioma	no available	no available	not available	no available	no available
HCT-116	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	male	no available	no available
LS-180	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	female	no available	no available
LS-513	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	male	no available	no available
NCI-H630	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	male	no available	no available
SNU-C2B	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	female	no available	no available
CaR-1	Homo sapiens	large intestine	colorectal adenocarcinoma; colon adenocarcinoma	not available	no available	not available	no available	no available
DIFI	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	not available	no available	no available
GP5d	Homo sapiens	large intestine	colorectal adenocarcinoma; colon adenocarcinoma	not available	no available	female; not available	no available	no available
HT-115	Homo sapiens	large intestine	colorectal adenocarcinoma; colon carcinoma	not available	no available	not available	no available	no available
201T	Homo sapiens	lung	non-small cell lung adenocarcinoma	no available	no available	not available	no available	no available
CAL-72	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
COLO-320-HSR	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	not available	no available	no available
COR-L303	Homo sapiens	lung	small cell lung carcinoma	no available	no available	not available	no available	no available
COR-L32	Homo sapiens	lung	small cell lung carcinoma	no available	no available	not available	no available	no available
COR-L321	Homo sapiens	lung	lung carcinoma	no available	no available	female	no available	no available
CPC-N	Homo sapiens	lung	small cell lung carcinoma	not available	no available	not available	no available	no available
