cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
UM-UC-3	no available	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_1783	Homo Sapiens	Male	Unknown	no available	SIDM01182	SIDS00422	SIDP00364
CCLF_PEDS_0008_T	no available	Soft Tissue	Other Solid Cancers	Unknown	Epithelioid Sarcoma	CVCL_B3PM	Homo Sapiens	Unknown	Unknown	no available	SIDM01982	SIDS01854	SIDP01751
ONDA8	no available	Central Nervous System	Glioma	Brain	Glioma	CVCL_4W68	Homo Sapiens	Female	East Asian	no available	SIDM01970	SIDS01866	SIDP01762
LPS27	no available	Soft Tissue	Other Solid Cancers	Unknown	Liposarcoma	CVCL_A1VQ	Homo Sapiens	Unknown	Unknown	no available	SIDM01974	SIDS01862	SIDP01758
JEG-3	no available	Placenta	Other Solid Cancers	Placenta	Gestational Choriocarcinoma	CVCL_0363	Homo Sapiens	Male	Unknown	no available	SIDM01218	SIDS00173	SIDP00139
PFSK-1	no available	Central Nervous System	Other Solid Cancers	Cerebral hemisphere	Primitive Neuroectodermal Tumor	CVCL_1642	Homo Sapiens	Male	White	0	SIDM01132	SIDS00339	SIDP00285
SK-MEL-31	AX-Mel	Skin	Melanoma	Unknown	Melanoma	CVCL_0600	Homo Sapiens	Female	Unknown	no available	SIDM01104	SIDS00368	SIDP00313
SNU-387	NCI-SNU-387	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_0250	Homo Sapiens	Female	East Asian	41	SIDM01180	SIDS00378	SIDP00322
UDSCC2	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_E325	Homo Sapiens	Unknown	Unknown	no available	SIDM00025	SIDS00796	SIDP00713
R262	no available	Central Nervous System	Other Solid Cancers	Unknown	Medulloblastoma	CVCL_VU83	Homo Sapiens	Unknown	Unknown	no available	SIDM01317	SIDS01440	SIDP01321
DU-4475	no available	Breast	Breast Carcinoma	Unknown	Breast Carcinoma	CVCL_1183	Homo Sapiens	Female	Unknown	62	SIDM01001	SIDS00500	SIDP00437
GDM-1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral Blood	Adult Acute Myeloid Leukemia	CVCL_1230	Homo Sapiens	Female	Unknown	no available	SIDM01057	SIDS00517	SIDP00453
KNS-81-FD	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1336	Homo Sapiens	Male	Unknown	65	SIDM01210	SIDS00992	SIDP00889
LNZTA3WT4	LNZTA3p53WT4	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_3540	Homo Sapiens	Male	Unknown	no available	SIDM01220	SIDS00183	SIDP00148
MY-M12	MY clone M12	Haematopoietic and Lymphoid	Other Blood Cancers	Peripheral blood	Acute Biphenotypic Leukemia	CVCL_3035	Homo Sapiens	Female	East Asian	52	SIDM01217	SIDS01017	SIDP00911
NCI-H835	no available	Lung	Other Solid Cancers	Unknown	Lung Carcinoid Tumor	CVCL_1593	Homo Sapiens	Female	Black	48	SIDM01133	SIDS00320	SIDP00267
NCI-N87	NCI-H87	Stomach	Gastric Carcinoma	Liver	Gastric Tubular Adenocarcinoma	CVCL_1603	Homo Sapiens	Male	Unknown	no available	SIDM01147	SIDS00325	SIDP00272
NK-92MI	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Peripheral Blood	Natural Killer Cell Lymphoblastic Leukemia or Lymphoma	CVCL_3755	Homo Sapiens	Male	White	50	SIDM01201	SIDS00329	SIDP00276
OV-90	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Adenocarcinoma	CVCL_3768	Homo Sapiens	Female	Unknown	64	SIDM01141	SIDS00331	SIDP00278
SK-CO-1	SKCol1	Large Intestine	Colorectal Carcinoma	Ascites	Colon Adenocarcinoma	CVCL_0626	Homo Sapiens	Male	White	65	SIDM01096	SIDS00360	SIDP00305
SNU-398	NCI-SNU-398	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_0077	Homo Sapiens	Male	East Asian	42	SIDM01181	SIDS00379	SIDP00323
SNU-449	NCI-SNU-449	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_0454	Homo Sapiens	Male	East Asian	52	SIDM01194	SIDS00381	SIDP00325
SNU-475	NCI-SNU-475	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_0497	Homo Sapiens	Male	East Asian	43	SIDM01196	SIDS00382	SIDP00326
SNU-C1	NCI-SNU-C1	Large Intestine	Colorectal Carcinoma	Peritoneum	Colon Adenocarcinoma	CVCL_1708	Homo Sapiens	Male	East Asian	71	SIDM01197	SIDS00383	SIDP00327
ST486	no available	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Ascites	Burkitt's Lymphoma	CVCL_1712	Homo Sapiens	Female	Unknown	0	SIDM01198	SIDS00384	SIDP00328
SU8686	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Adenocarcinoma	CVCL_3881	Homo Sapiens	Female	White	57	SIDM01188	SIDS00385	SIDP00329
SUP-B15	SupB15W;SupB15WT	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Bone marrow	Childhood B Acute Lymphoblastic Leukemia	CVCL_0103	Homo Sapiens	Male	White	8	SIDM01176	SIDS00386	SIDP00330
SUP-B8	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Bone Marrow	Childhood B Acute Lymphoblastic Leukemia	CVCL_1713	Homo Sapiens	Female	Unknown	15	SIDM01177	SIDS00387	SIDP00331
SUP-T1	Tsup-1;VB	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Pleural effusion	Childhood Precursor T Lymphoblastic Lymphoma	CVCL_1714	Homo Sapiens	Male	White	8	SIDM01154	SIDS00388	SIDP00332
SW1088	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_1715	Homo Sapiens	Male	White	72	SIDM01155	SIDS00389	SIDP00333
SW156	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1719	Homo Sapiens	Male	White	75	SIDM01162	SIDS00391	SIDP00335
SW1990	no available	Pancreas	Pancreatic Carcinoma	Spleen	Pancreatic Adenocarcinoma	CVCL_1723	Homo Sapiens	Male	White	56	SIDM01165	SIDS00394	SIDP00338
SW684	no available	Soft Tissue	Other Sarcomas	Connective tissue	Fibrosarcoma	CVCL_1726	Homo Sapiens	Male	White	68	SIDM01175	SIDS00397	SIDP00341
SW756	no available	Cervix	Cervical Carcinoma	Unknown	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_1727	Homo Sapiens	Female	White	46	SIDM01174	SIDS00398	SIDP00342
SW780	no available	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_1728	Homo Sapiens	Female	White	80	SIDM01160	SIDS00399	SIDP00343
SW900	no available	Lung	Squamous Cell Lung Carcinoma	Lung	Squamous Cell Lung Carcinoma	CVCL_1731	Homo Sapiens	Male	White	53	SIDM01158	SIDS00401	SIDP00345
SW954	no available	Vulva	Other Solid Cancers	Vulva	Vulvar Squamous Cell Carcinoma	CVCL_1732	Homo Sapiens	Female	White	86	SIDM01157	SIDS00402	SIDP00346
SW962	no available	Vulva	Other Solid Cancers	Lymph node	Vulvar Carcinoma	CVCL_1733	Homo Sapiens	Female	White	64	SIDM01178	SIDS00403	SIDP00347
SW982	no available	Soft Tissue	Other Sarcomas	Synovium	Synovial Sarcoma	CVCL_1734	Homo Sapiens	Female	White	25	SIDM01161	SIDS00404	SIDP00348
Saos-2	Sarcoma OSteogenic-2	Bone	Osteosarcoma	Bone	Osteosarcoma	CVCL_0548	Homo Sapiens	Female	White	11	SIDM01084	SIDS00350	SIDP00295
T24	no available	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_0554	Homo Sapiens	Female	White	81	SIDM01184	SIDS00405	SIDP00349
T98G	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_0556	Homo Sapiens	Male	White	61	SIDM01171	SIDS00407	SIDP00350
TCCSUP	no available	Bladder	Bladder Carcinoma	Neck of the urinary bladder	Bladder Carcinoma	CVCL_1738	Homo Sapiens	Female	Unknown	67	SIDM01190	SIDS00408	SIDP00351
TE-441-T	no available	Soft Tissue	Rhabdomyosarcoma	Connective tissue	Rhabdomyosarcoma	CVCL_1754	Homo Sapiens	Female	Black	14	SIDM01173	SIDS00409	SIDP00352
THP-1	THPI;THP-1(ATCC)	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Childhood Acute Differentiated Monocytic Leukemia	CVCL_0006	Homo Sapiens	Male	Unknown	1	SIDM01172	SIDS00410	SIDP00353
TOV-112D	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Endometrioid Adenocarcinoma	CVCL_3612	Homo Sapiens	Female	Unknown	42	SIDM01170	SIDS00411	SIDP00354
U-118-MG	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_0633	Homo Sapiens	Male	White	50	SIDM01193	SIDS00414	SIDP00357
U-87-MG	U-87MG ATCC	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_0022	Homo Sapiens	Male	Unknown	no available	SIDM01189	SIDS00417	SIDP00359
UACC-812	no available	Breast	Breast Carcinoma	Mammary gland	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_1781	Homo Sapiens	Female	Unknown	43	SIDM01187	SIDS00418	SIDP00360
UACC-893	no available	Breast	Breast Carcinoma	Mammary gland	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_1782	Homo Sapiens	Female	White	57	SIDM01186	SIDS00419	SIDP00361
VA-ES-BJ	no available	Soft Tissue	Other Sarcomas	Bone marrow	Epithelioid Sarcoma	CVCL_1785	Homo Sapiens	Male	White	41	SIDM01179	SIDS00423	SIDP00365
MM127	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_2601	Homo Sapiens	Male	Unknown	no available	SIDM01356	SIDS01401	SIDP01284
ICC10-8	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1VA	Homo Sapiens	Unknown	Unknown	no available	SIDM01976	SIDS01860	SIDP01757
ICC8	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1VG	Homo Sapiens	Unknown	Unknown	no available	SIDM01978	SIDS01858	SIDP01755
ICC9	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1VH	Homo Sapiens	Unknown	Unknown	no available	SIDM01980	SIDS01856	SIDP01753
LPS6	no available	Soft Tissue	Other Solid Cancers	Unknown	Liposarcoma	CVCL_A1VR	Homo Sapiens	Unknown	Unknown	no available	SIDM01973	SIDS01863	SIDP01759
ICC10-6	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1UZ	Homo Sapiens	Unknown	Unknown	no available	SIDM01975	SIDS01861	SIDP01757
ICC15	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Cholangiocarcinoma	CVCL_A1VE	Homo Sapiens	Unknown	Unknown	no available	SIDM01977	SIDS01859	SIDP01756
ICC3	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1ZB	Homo Sapiens	Unknown	Unknown	no available	SIDM01979	SIDS01857	SIDP01754
ICC12	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_A1VC	Homo Sapiens	Unknown	Unknown	no available	SIDM01981	SIDS01855	SIDP01752
CCLF_PEDS_0003_T	no available	Soft Tissue	Other Solid Cancers	Unknown	Undifferentiated Sarcoma - Not Otherwise Specified	CVCL_B3PL	Homo Sapiens	Unknown	Unknown	no available	SIDM01983	SIDS01853	SIDP01750
ECC2	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Cholangiocarcinoma	CVCL_A1UI	Homo Sapiens	Unknown	Unknown	no available	SIDM01985	SIDS01869	SIDP01765
WM-239A	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_6795	Homo Sapiens	Female	Unknown	55	SIDM00978	SIDS00429	SIDP00368
Jurkat-Clone-E6-1	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_0367	Homo Sapiens	Male	Unknown	14	SIDM01244	SIDS00539	SIDP00474
HMCB	HCMB;Human Melanoma Cell Bowes;Bowes melanoma cells	Skin	Melanoma	Unknown	Melanoma	CVCL_3317	Homo Sapiens	Female	Unknown	no available	SIDM00914	SIDS00103	SIDP00084
MES-SA-Dx-5	no available	Uterus	Other Sarcomas	Uterus	Uterine Corpus Sarcoma	CVCL_2598	Homo Sapiens	Female	White	56	SIDM01225	SIDS00202	SIDP00164
1273-99	no available	Soft Tissue	Other Solid Cancers	Unknown	Synovial Sarcoma	CVCL_N588	Homo Sapiens	Unknown	Unknown	no available	SIDM01315	SIDS01235	SIDP01126
OVSAYO	no available	Ovary	Ovarian Carcinoma	Ovary	High Grade Ovarian Serous Adenocarcinoma	CVCL_3115	Homo Sapiens	Female	East Asian	64	SIDM00464	SIDS01036	SIDP00929
PK-45P	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Carcinoma	CVCL_6749	Homo Sapiens	Unknown	Unknown	no available	SIDM01319	SIDS01438	SIDP01319
PaCaDD-183	no available	Pancreas	Pancreatic Carcinoma	Ascites	Pancreatic Ductal Adenocarcinoma	CVCL_M468	Homo Sapiens	Female	White	49	SIDM01327	SIDS01430	SIDP01312
PaCaDD-161	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Ductal Adenocarcinoma	CVCL_M466	Homo Sapiens	Female	White	63	SIDM01329	SIDS01428	SIDP01310
NBsusSR	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1450	Homo Sapiens	Male	East Asian	18	SIDM00002	SIDS00781	SIDP00699
MDA-MB-134-VI	MDA-134;MM134	Breast	Breast Carcinoma	Pleural Effusion	Ductal Breast Carcinoma	CVCL_0617	Homo Sapiens	Female	White	47	SIDM00005	SIDS00778	SIDP00697
MCC26	MCC26TC	Skin	Other Solid Cancers	Unknown	Merkel Cell Carcinoma	CVCL_2585	Homo Sapiens	Unknown	Unknown	no available	SIDM00006	SIDS00777	SIDP00696
MCC13	MCC13TC	Skin	Other Solid Cancers	Cervical Lymph Node	Merkel Cell Carcinoma	CVCL_2583	Homo Sapiens	Female	Unknown	80	SIDM00007	SIDS00776	SIDP00695
MC-1010	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Acute Myeloid Leukemia	CVCL_1396	Homo Sapiens	Unknown	Unknown	no available	SIDM00009	SIDS00774	SIDP00693
LIM1215	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Carcinoma	CVCL_2574	Homo Sapiens	Unknown	Unknown	no available	SIDM00014	SIDS00769	SIDP00690
NCI-H2286	no available	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_1545	Homo Sapiens	Female	White	57	SIDM00017	SIDS00782	SIDP00700
SCLC-21H	no available	Lung	Small Cell Lung Carcinoma	Pleural Effusion	Small Cell Lung Carcinoma	CVCL_0024	Homo Sapiens	Male	White	46	SIDM00029	SIDS00792	SIDP00710
SCaBER	no available	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_3599	Homo Sapiens	Male	Black	58	SIDM00032	SIDS00789	SIDP00707
EMC-BAC-1	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Non-Small Cell Lung Carcinoma	CVCL_X486	Homo Sapiens	Male	Unknown	no available	SIDM00048	SIDS00735	SIDP00659
EMC-BAC-2	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Non-Small Cell Lung Carcinoma	CVCL_X487	Homo Sapiens	Unknown	Unknown	no available	SIDM00047	SIDS00736	SIDP00660
HSC-39	no available	Stomach	Gastric Carcinoma	Unknown	Signet Ring Cell Gastric Adenocarcinoma	CVCL_A385	Homo Sapiens	Male	Unknown	no available	SIDM00045	SIDS00738	SIDP00662
PCI-30	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_C757	Homo Sapiens	Male	Unknown	no available	SIDM00044	SIDS00739	SIDP00663
PCI-4B	PCI-04B;PCI-4M	Head and Neck	Head and Neck Carcinoma	Unknown	Laryngeal Squamous Cell Carcinoma	CVCL_C171	Homo Sapiens	Male	Unknown	no available	SIDM00043	SIDS00740	SIDP00664
PL4	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_S976	Homo Sapiens	Unknown	Unknown	no available	SIDM00042	SIDS00741	SIDP00665
RCC-MF	KTCTL-1M	Kidney	Kidney Carcinoma	Unknown	Clear Cell Renal Cell Carcinoma	CVCL_5884	Homo Sapiens	Male	White	63	SIDM00816	SIDS00011	SIDP00008
TE-12	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1762	Homo Sapiens	Male	Unknown	no available	SIDM00023	SIDS00798	SIDP00715
Sarc9371	no available	Bone	Osteosarcoma	Unknown	Osteosarcoma	CVCL_5G89	Homo Sapiens	Unknown	Unknown	no available	SIDM00033	SIDS00788	SIDP00706
S-117	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Thyroid Gland Sarcoma	CVCL_1674	Homo Sapiens	Female	Unknown	47	SIDM00035	SIDS00786	SIDP00704
SZ-4	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Blood	Mycosis Fungoides and Sezary Syndrome	CVCL_8330	Homo Sapiens	Female	Black	66	SIDM01389	SIDS01408	SIDP01291
Y79	no available	Eye	Other Solid Cancers	Eye	Retinoblastoma	CVCL_1893	Homo Sapiens	Female	White	2	SIDM01395	SIDS01518	SIDP01398
UW228	no available	Central Nervous System	Other Solid Cancers	Brain	Medulloblastoma	CVCL_8585	Homo Sapiens	Unknown	Unknown	no available	SIDM01399	SIDS01514	SIDP01395
UM-UC-9	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2753	Homo Sapiens	Unknown	Unknown	no available	SIDM01401	SIDS01512	SIDP01393
UM-UC-6	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2751	Homo Sapiens	Male	Unknown	no available	SIDM01403	SIDS01510	SIDP01391
PE-CA-PJ34_Clone-C12	no available	Head and Neck	Head and Neck Carcinoma	Oral cavity	Basaloid Squamous Cell Carcinoma	CVCL_2679	Homo Sapiens	Male	Unknown	60	SIDM01324	SIDS01433	SIDP01315
PaCaDD-188	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_M469	Homo Sapiens	Female	White	68	SIDM01326	SIDS01431	SIDP01313
PaCaDD-165	no available	Pancreas	Pancreatic Carcinoma	Ascites	Pancreatic Ductal Adenocarcinoma	CVCL_M467	Homo Sapiens	Male	White	54	SIDM01328	SIDS01429	SIDP01311
PaCaDD-159	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_M465	Homo Sapiens	Male	White	78	SIDM01330	SIDS01427	SIDP01309
RERF-LC-AD2	no available	Lung	Non-Small Cell Lung Carcinoma	Lung	Lung Adenocarcinoma	CVCL_1652	Homo Sapiens	Male	East Asian	no available	SIDM01332	SIDS01443	SIDP01324
RH-3	no available	Soft Tissue	Rhabdomyosarcoma	Axillary Lymph Node	Alveolar Rhabdomyosarcoma	CVCL_L415	Homo Sapiens	Male	Unknown	17	SIDM01334	SIDS01444	SIDP01325
SLR26	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_V612	Homo Sapiens	Unknown	Unknown	no available	SIDM01338	SIDS01456	SIDP01337
SLR23	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_V609	Homo Sapiens	Unknown	Unknown	no available	SIDM01340	SIDS01454	SIDP01335
PaCaDD-141	no available	Pancreas	Pancreatic Carcinoma	Lymph Node	Pancreatic Ductal Adenocarcinoma	CVCL_M464	Homo Sapiens	Female	White	82	SIDM01342	SIDS01426	SIDP01308
SEKI	no available	Skin	Melanoma	Skin (Lower Leg)	Melanoma	CVCL_3162	Homo Sapiens	Female	East Asian	28	SIDM01344	SIDS01450	SIDP01331
SCMC-RM2	no available	Soft Tissue	Rhabdomyosarcoma	Bone Marrow	Embryonal Rhabdomyosarcoma	CVCL_A667	Homo Sapiens	Female	Unknown	11	SIDM01346	SIDS01448	SIDP01329
RH-JT	no available	Soft Tissue	Rhabdomyosarcoma	Unknown	Alveolar Rhabdomyosarcoma	CVCL_VU81	Homo Sapiens	Unknown	Unknown	no available	SIDM01348	SIDS01446	SIDP01327
RH-36	no available	Soft Tissue	Rhabdomyosarcoma	Paratesticular Region	Embryonal Rhabdomyosarcoma	CVCL_M599	Homo Sapiens	Male	Unknown	15	SIDM01350	SIDS01445	SIDP01326
PaCaDD-137	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_1850	Homo Sapiens	Female	White	75	SIDM01352	SIDS01425	SIDP01307
PaCaDD-119	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_1848	Homo Sapiens	Male	White	59	SIDM01354	SIDS01423	SIDP01305
MCC15	no available	Skin	Other Solid Cancers	Axillary Lymph Node	Merkel Cell Carcinoma	CVCL_D021	Homo Sapiens	Male	Unknown	56	SIDM01358	SIDS01399	SIDP01282
MCC14-2	no available	Skin	Other Solid Cancers	Iliac Node (Groin)	Merkel Cell Carcinoma	CVCL_2584	Homo Sapiens	Male	Unknown	80	SIDM01360	SIDS01398	SIDP01281
MM383	no available	Skin	Melanoma	Lymph Node	Melanoma	CVCL_2606	Homo Sapiens	Unknown	Unknown	no available	SIDM01362	SIDS01403	SIDP01286
LN-444	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_3961	Homo Sapiens	Unknown	Unknown	no available	SIDM01364	SIDS01394	SIDP01278
LN-992	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_6845	Homo Sapiens	Male	Unknown	67	SIDM01366	SIDS01392	SIDP01276
LA-N-2	no available	Peripheral Nervous System	Neuroblastoma	Primary Tumour	Neuroblastoma	CVCL_1829	Homo Sapiens	Female	Unknown	3	SIDM01370	SIDS01388	SIDP01272
MON	no available	Soft Tissue	Other Solid Cancers	Unknown	Extrarenal Rhabdoid Tumor	CVCL_M846	Homo Sapiens	Unknown	Unknown	no available	SIDM01374	SIDS01406	SIDP01289
PaCaDD-43	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_8781	Homo Sapiens	Male	White	68	SIDM01376	SIDS01421	SIDP01303
K052	KO52	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Adult Acute Myeloid Leukemia	CVCL_1321	Homo Sapiens	Male	Unknown	46	SIDM00018	SIDS00766	SIDP00687
TASK1	no available	Central Nervous System	Other Solid Cancers	Unknown	Primitive Neuroectodermal Tumor	CVCL_3177	Homo Sapiens	Unknown	Unknown	21	SIDM00026	SIDS00795	SIDP00712
IOSE-75-16SV40	no available	Ovary	Ovarian Carcinoma	Unknown	Ovarian Carcinoma	CVCL_EQ74	Homo Sapiens	Unknown	Unknown	no available	SIDM00039	SIDS00763	SIDP00685
IOSE-523(-)	no available	Ovary	Ovarian Carcinoma	Unknown	Ovarian Carcinoma	CVCL_E234	Homo Sapiens	Unknown	Unknown	no available	SIDM00059	SIDS00762	SIDP00684
IOSE-397	no available	Ovary	Ovarian Carcinoma	Unknown	Ovarian Carcinoma	CVCL_5541	Homo Sapiens	Unknown	Unknown	no available	SIDM00060	SIDS00761	SIDP00683
IOSE-364(-)	no available	Ovary	Ovarian Carcinoma	Unknown	Ovarian Carcinoma	CVCL_5540	Homo Sapiens	Unknown	Unknown	no available	SIDM00061	SIDS00760	SIDP00682
CHSA0011	no available	Bone	Chondrosarcoma	Unknown	Chondrosarcoma	CVCL_X483	Homo Sapiens	Male	Unknown	no available	SIDM00051	SIDS00732	SIDP00656
EB-3	Epstein-Barr-3;GM04679	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Unknown	Epstein-Barr Virus-Related Burkitt s Lymphoma	CVCL_1185	Homo Sapiens	Male	Black	3	SIDM00793	SIDS00055	SIDP00043
ECC10	no available	Stomach	Gastric Carcinoma	Liver	Gastric Small Cell Neuroendocrine Carcinoma	CVCL_1188	Homo Sapiens	Male	East Asian	no available	SIDM00280	SIDS00659	SIDP00588
SBC-3	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1678	Homo Sapiens	Male	Unknown	24	SIDM00367	SIDS01055	SIDP00947
SJRH30	RH30SJ;SJCRH30;RC13;RMS 13;RH-30	Soft Tissue	Rhabdomyosarcoma	Bone marrow	Alveolar Rhabdomyosarcoma	CVCL_0041	Homo Sapiens	Male	White	17	SIDM01095	SIDS00358	SIDP00303
STS-0421	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Adenocarcinoma	CVCL_X508	Homo Sapiens	Unknown	Unknown	no available	SIDM00041	SIDS00742	SIDP00666
TMK-1	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Adenocarcinoma	CVCL_4384	Homo Sapiens	Male	Unknown	no available	SIDM00040	SIDS00743	SIDP00667
Geo	HCT-GEO	Large Intestine	Colorectal Carcinoma	Unknown	Colon Carcinoma	CVCL_0271	Homo Sapiens	Unknown	Unknown	no available	SIDM00068	SIDS00753	SIDP00676
ECC4	no available	Large Intestine	Colorectal Carcinoma	Unknown	Rectal Adenocarcinoma	CVCL_1190	Homo Sapiens	Male	East Asian	45	SIDM00069	SIDS00752	SIDP00675
BOKU	no available	Cervix	Cervical Carcinoma	Cervix	Cervical Squamous Cell Carcinoma	CVCL_1089	Homo Sapiens	Female	Unknown	no available	SIDM00073	SIDS00749	SIDP00672
COR-L47	no available	Lung	Small Cell Lung Carcinoma	Bone Marrow	Small Cell Lung Carcinoma	CVCL_2415	Homo Sapiens	Male	White	67	SIDM01482	SIDS01284	SIDP01172
OCI-C5x	no available	Ovary	Ovarian Carcinoma	Unknown	Ovarian Clear Cell Adenocarcinoma	CVCL_DH06	Homo Sapiens	Unknown	Unknown	no available	SIDM01380	SIDS01417	SIDP01299
MM426	no available	Skin	Melanoma	Cervical Lymph Node	Melanoma	CVCL_2609	Homo Sapiens	Unknown	Unknown	no available	SIDM01382	SIDS01405	SIDP01288
NCI-H2887	no available	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_5159	Homo Sapiens	Unknown	Unknown	no available	SIDM01384	SIDS01413	SIDP01295
NB-1643	no available	Peripheral Nervous System	Neuroblastoma	Retroperitoneal Mass	Neuroblastoma	CVCL_5627	Homo Sapiens	Unknown	Unknown	3	SIDM01388	SIDS01409	SIDP01292
MOR	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_2618	Homo Sapiens	Unknown	Unknown	no available	SIDM01390	SIDS01407	SIDP01290
