cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
LA-N-2	LA-N-2	CVCL_1829	no available	Homo Sapiens	Peripheral Nervous System	Primary tumour	3Y	Children	Female	no available	Neuroblastoma	no available	cell	LAN-2; LAN2	curated
NALM-16	NALM-16	CVCL_1834	no available	Homo Sapiens	Blood	Peripheral blood	12Y	Juvenile	Female	Caucasian	B-cell childhood acute lymphoblastic leukemia	no available	cell	NALM16; NALM-16	curated
NALM-19	NALM-19	CVCL_1835	no available	Homo Sapiens	Blood	Peripheral blood	26Y	Adult	Male	Japanese	B-cell acute lymphoblastic leukemia	no available	cell	NALM19	curated
NAMALWA-PNT	Namalwa.PNT	CVCL_1841	no available	Homo Sapiens	Haematopoietic and Lymphoid	no available	3Y	Children	Female	African; Kenyan	Burkitt lymphoma	B cell	cell	NAMALWA PNT; NAMALWA-PNT; NAMALWA.PNT; PNT	curated
OACM5-1	OACM5.1 C	CVCL_1842	no available	Homo Sapiens	Esophagus	Lymph node	47Y	Adult	Male	Caucasian	Esophageal adenocarcinoma	no available	cell	OACM51; OACM5.1; OACM5_1; OAC-M5.1 C; OACM5-1; OACM5.1 C; OAC-M5.1	curated
OACp4C	OACP4 C	CVCL_1843	no available	Homo Sapiens	Esophagus	Gastro-oesophageal junction (cardia)	55Y	Adult	Male	Caucasian	Esophageal adenocarcinoma	no available	cell	OACP4C; OAC-P4C	curated
OCI-AML3	OCI-AML-3	CVCL_1844	OCI-AML3 cell	Homo Sapiens	Blood	Peripheral blood	57Y	Adult	Male	Caucasian	Acute myeloid leukemia	no available	cell	OCIAML3; OCI/AML-3; OCI AML3 CELL; OCI-AML3; OCI-AML-3 CELL; OCI AML3; ONTARIO CANCER INSTITUTE-ACUTE MYELOID LEUKEMIA-3; OCI-AML-3; OCI/AML-3 CELL; OCI/AML3	curated
PA-TU-8902	PaTu 8902	CVCL_1845	PA-TU-8902 cell	Homo Sapiens	Pancreas	Pancreas	44Y	Adult	Female	Caucasian	Pancreatic adenocarcinoma	no available	cell	8902; PATU-8902 CELL; PATU 8902 CELL; PATU8902; PATU8902 CELL; PA-TU-8902; PATU-8902; PACL2	curated
PA-TU-8988S	PaTu 8988s	CVCL_1846	PA-TU-8988S cell	Homo Sapiens	Pancreas	Liver	64Y	Adult	Female	Caucasian	Pancreatic adenocarcinoma	no available	cell	PATU8988S; PATU 8988 S; PATU-8988S; PA-TU S; PA-TU-8988S; PATU8988S CELL; PATU-S	curated
PA-TU-8988T	PaTu 8988t	CVCL_1847	PA-TU-8988T cell	Homo Sapiens	Pancreas	Liver	64Y	Adult	Female	Caucasian	Pancreatic adenocarcinoma	no available	cell	PATU-T; PATU8988T; PA-TU T; PATU8988T CELL; PATU 8988 T; PATU-8988T CELL; PACL4; PATU-8988T; PA-TU-8988T; 8988T	curated
PaCaDD-119	PaCaDD-119	CVCL_1848	no available	Homo Sapiens	Pancreas	Head; Pancreas	59Y	Adult	Male	Caucasian	Pancreatic adenocarcinoma	no available	cell	PACADD119; PACADD-119	curated
PaCaDD-135	PaCaDD-135	CVCL_1849	no available	Homo Sapiens	Pancreas	Lymph node	48Y	Adult	Female	Caucasian	Pancreatic adenocarcinoma	no available	cell	PACADD-135; PACADD135	curated
PaCaDD-137	PaCaDD-137	CVCL_1850	no available	Homo Sapiens	Pancreas	Head; Pancreas	75Y	Elderly	Female	Caucasian	Pancreatic adenocarcinoma	no available	cell	PACADD137; PACADD-137	curated
RCH-ACV	RCH-ACV	CVCL_1851	RCH-ACV cell	Homo Sapiens	Bone Marrow	Bone marrow	8Y	Children	Female	Caucasian	B-cell acute lymphoblastic leukemia	no available	cell	RCH; RCHACV	curated
Tanoue	Tanoue	CVCL_1852	no available	Homo Sapiens	Blood	Peripheral blood	10Y	Children	Male	Japanese	B-cell childhood acute lymphoblastic leukemia	no available	cell	TANOUE	curated
CCRF-HSB-2	CCRF-HSB-2	CVCL_1859	CCRF-HSB-2 cell	Homo Sapiens	Blood	Peripheral blood	11Y	Children	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	HSB.2; SB-2; CCRF HSB-2; CCRF HSB-2 CELL; HSB-2; H.S.B.; HSB-2 CELL; HSB2; H-SB2; HSB; GM04155; CCRF-HSB2	curated
CI-1	Ci-1	CVCL_1861	no available	Homo Sapiens	Ascites	Ascites	38Y	Adult	Female	Caucasian	B-cell non-hodgkin lymphoma	no available	cell	CI-1; CI1	curated
JEKO-1	JeKo-1	CVCL_1865	Jeko-1 cell	Homo Sapiens	Blood	Peripheral blood	78Y	Elderly	Female	Korean	Mantle cell lymphoma	no available	cell	JEKO 1; JEKO; JEKO1; JEKO-1	curated
KOPN-8	KOPN-8	CVCL_1866	no available	Homo Sapiens	Blood	Peripheral blood	3M	no available	Female	Japanese	B-cell acute lymphoblastic leukemia	no available	cell	KOPN-8; KOPN8	curated
MEC-1	MEC-1	CVCL_1870	MEC-1 cell	Homo Sapiens	Blood	Peripheral blood	61Y	Adult	Male	Caucasian	Chronic lymphocytic leukemia	no available	cell	MEC1 CELL; MEC1	curated
MEC-2	MEC-2	CVCL_1871	MEC-2 cell	Homo Sapiens	Blood	Peripheral blood	62Y	Adult	Male	Caucasian	Chronic lymphocytic leukemia	no available	cell	MEC2; MEC2 CELL	curated
Mino	Mino	CVCL_1872	no available	Homo Sapiens	Blood	Peripheral blood	68Y	Elderly	Female	Caucasian	Mantle cell lymphoma	no available	cell	MINO	curated
MUTZ-5	MUTZ-5	CVCL_1873	no available	Homo Sapiens	Blood	Peripheral blood	26Y	Adult	Male	no available	B-cell acute lymphoblastic leukemia	no available	cell	MUTZ5; MUTZ-5; MENSCHLICHE UND TIERISCHE ZELLKULTURE-5	curated
NU-DHL-1	NU-DHL-1	CVCL_1876	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node; Left inguinal lymph node	73Y	Elderly	Male	Caucasian	Diffuse large b-cell lymphoma	no available	cell	NUDHL 1; NUDHL1; NU-DHL-1	curated
NU-DUL-1	NU-DUL-1	CVCL_1877	NU-DUL-1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Cerebrospinal fluid	43Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma activated b-cell type	no available	cell	NUDUL1; NUDUL1 CELL; NUDUL-1 CELL; NUDUL-1	curated
OCI-LY-19	OCI-Ly19	CVCL_1878	no available	Homo Sapiens	Bone Marrow	Bone marrow	27Y	Adult	Female	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	OCI-LY19; OCI-LY-19; OCI-LY 19; OCILY-19; OCI LY19; OCILY19; LY19	curated
OCI-Ly18	OCI-Ly18	CVCL_1880	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion; Pleural fluid	56Y	Adult	Male	no available	Diffuse large b-cell lymphoma	no available	cell	OCILY18; OCI-LY 18; OCI-LY-18; LY18; OCI-LY18	curated
OCI-LY7	OCI-Ly7	CVCL_1881	OCI-LY7 cell	Homo Sapiens	Blood	Peripheral blood	48Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	LY7; OCILY7; LY7 CELL; OCI-LY07; OCI-LY 7; OCI-LY 7 CELL; OCI-LY-7 CELL; OCILY7 CELL; OCI-LY7; OCI-LY-7	curated
ONCO-DG-1	ONCO-DG-1	CVCL_1882	ONCO-DG1 cell	Homo Sapiens	Ovary	Ascites	60Y	Adult	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	ONCO-DG1; ONCO-DG-1 CELL; ONCODG1 CELL; ONCODG1; ONCO-DG 1 CELL; ONCO-DG 1	curated
RC-K8	RC-K8	CVCL_1883	no available	Homo Sapiens	Haematopoietic and Lymphoid	Peritoneal effusion	55Y	Adult	no available	Japanese	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	RCK-8; RCK8	curated
REC-1	REC-1	CVCL_1884	REC-1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node; Peripheral blood	61Y	Adult	no available	Caucasian	Mantle cell lymphoma	no available	cell	REC 1; REC-1; REC1; REC	curated
Ri-1	Ri-1	CVCL_1885	no available	Homo Sapiens	Blood	Peripheral blood	57Y	Adult	Female	Caucasian	Diffuse large b-cell lymphoma activated b-cell type	no available	cell	RIVA; RI-1; RI1	curated
ROS-50	ROS-50	CVCL_1887	no available	Homo Sapiens	Blood	Peripheral blood	69Y	Elderly	Male	Caucasian	B-cell adult acute lymphocytic leukemia	no available	cell	ROS 50; ROTTERDAM SUSPENSION CELL LINE NO. 50; ROS.50; ROS-50; ROS50	curated
SC-1	Sc-1	CVCL_1888	no available	Homo Sapiens	Ascites	Ascites	67Y	Elderly	Male	Caucasian	Follicular lymphoma	no available	cell	SCI1; SC1; SC-1; SCI-1; SCOTT	curated
SU-DHL-10	SU-DHL-10	CVCL_1889	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	25Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	SUDHL-10; SUDHL 10; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-10; SU-DHL-10; SUDHL10; DHL10	curated
SU-DHL-16	SU-DHL-16	CVCL_1890	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	no available	no available	Male	Caucasian	B-cell non-hodgkin lymphoma	no available	cell	DHL-16; SUDHL-16; SUDHL16; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-16	curated
Y79	Y-79	CVCL_1893	Y-79 cell	Homo Sapiens	Eye	Globe	2Y	Infant	Female	Caucasian	Retinoblastoma	no available	cell	GM01232; Y79 CELL; GM01232E; Y79	curated
SCC90	UPCI-SCC-090	CVCL_1899	no available	Homo Sapiens	Mouth	Tongue	44Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	UPCI-SCC-090; UPCISCC090; UPCI:SCC090; SCC90; UPCI-SCC-90; SCC090; UPCI-SCC090; UPCI:SCC90	curated
WSU-DLCL2	WSU-DLCL2	CVCL_1902	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	41Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	WSU-DLCL(2); WSU-DLCL-2; WSUDLCL2	curated
U031	UO-31	CVCL_1911	UO-31 cell	Homo Sapiens	Kidney	Kidney	no available	no available	Female	Caucasian	Renal cell carcinoma	no available	cell	UO31; UO.31; UO31 CELL; U031; UO-31	curated
PEER	Peer	CVCL_1913	PEER cell	Homo Sapiens	Blood	Peripheral blood	4Y	Children	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	PEER	curated
A2780ADR	A2780ADR	CVCL_1941	no available	Homo Sapiens	Ovary	Ovary	no available	no available	Female	African American	Ovarian endometrioid adenocarcinoma	no available	cell	A2780-ADR; A2780 ADR	curated
A2780cis	A2780cis	CVCL_1942	no available	Homo Sapiens	Ovary	Ovary	no available	no available	Female	African American	Ovarian endometrioid adenocarcinoma	no available	cell	A2780_CIS; A2780 CIS; A2780CIS	curated
BC-3C	BC-3C	CVCL_1958	no available	Homo Sapiens	Bladder	Urinary bladder	82Y	Elderly	Female	Caucasian	Bladder carcinoma	no available	cell	BC3C	curated
BLUE-1	BLUE-1	CVCL_1967	no available	Homo Sapiens	Bone Marrow	Bone marrow	29Y	Adult	Male	Caucasian	Burkitt lymphoma	B cell	cell	BLUE1	curated
CL-11	CL-11	CVCL_1978	no available	Homo Sapiens	Colon	Colon	no available	no available	Male	Caucasian	Colon adenocarcinoma	no available	cell	CL11	curated
CL-14	CL-14	CVCL_1979	no available	Homo Sapiens	Large Intestine	Sigmoid; Colon	no available	no available	no available	Caucasian	Colon adenocarcinoma	no available	cell	CL14	curated
CL-34	CL-34	CVCL_1980	no available	Homo Sapiens	Large Intestine	Right colon	no available	no available	Female	Caucasian	Colon adenocarcinoma	no available	cell	CL34	curated
CL-40	CL-40	CVCL_1982	no available	Homo Sapiens	Large Intestine	Right colon	no available	no available	Female	Caucasian	Colon adenocarcinoma	no available	cell	CL40	curated
COLO-201	COLO 201	CVCL_1987	Colo-201 cell	Homo Sapiens	Large Intestine	Ascites	70Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	COLO 201; COLO-201; COLO201; COLORADO 201; COLO201 CELL	curated
COLO-206F	COLO 206F	CVCL_1988	Colo-206F cell	Homo Sapiens	Large Intestine	Ascites	70Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	COLO206F; COLO 206F; COLO 206; COLORADO 206F; COLO206; COLO-206F; COLO-206F CELL	curated
COLO-775	COLO 775	CVCL_1996	no available	Homo Sapiens	Blood	Peripheral blood	61Y	Adult	Male	African American	Plasma cell myeloma	B cell	cell	COLORADO 775; COLO-775	curated
COLO-829BL	COLO 829BL	CVCL_1999	no available	Homo Sapiens	Blood	Peripheral blood	45Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	COLO829BL; COLO-829-BL; COLORADO 829BL; COLO 829 BL; COLO829-BL; COLO-829BL	curated
UM-Chor1	UM-Chor1	CVCL_1D68	no available	Homo Sapiens	Bone	Cranium; Clivus	64Y	Adult	Male	White	Clivus chordoma	no available	cell	UM-CHOR-1; UNIVERSITY OF MICHIGAN-CHORDOMA-1; UMCHOR1	curated
Onda-9	Onda 9	CVCL_1R14	no available	Homo Sapiens	Brain	Left temporal lobe	58Y	Adult	Male	Japanese	Glioblastoma	no available	cell	NO.9; ONDA9; CASE 10; ONDA-9	curated
NP-2	NP-2	CVCL_1R15	no available	Homo Sapiens	Brain	Left frontal lobe	63Y	Adult	Male	Japanese	Glioblastoma	no available	cell	CASE 4; NP 2; NB3911	curated
NP-3	NP-3	CVCL_1R16	no available	Homo Sapiens	Brain	Left frontal lobe	64Y	Adult	Male	Japanese	Glioblastoma	no available	cell	NP 3; NB3972; CASE 2	curated
NP-5	NP-5	CVCL_1R17	no available	Homo Sapiens	Brain	Right parietal lobe	27Y	Adult	Male	Japanese	Glioblastoma	no available	cell	NP5; NB4135; NP 5; CASE 5	curated
COR-L23-R	COR-L23/R	CVCL_2008	no available	Homo Sapiens	Lung	Pleural effusion	62Y	Adult	Male	Caucasian	Lung large cell carcinoma	no available	cell	COR-L23R; COR-L23-R	curated
COV434	COV434	CVCL_2010	no available	Homo Sapiens	Ovary	Ovary; Ovarian follicle; Granulosa cell layer	26Y	Adult	Female	Caucasian	Ovarian small cell carcinoma	no available	cell	COV-434; COV 434	curated
DERL-2	DERL-2	CVCL_2016	no available	Homo Sapiens	Blood	Peripheral blood	30Y	Adult	Male	White	T-cell non-hodgkin's lymphoma; Hepatosplenic t-cell lymphoma	T cell	cell	DERL-NK2; DERL2	curated
DERL-7	DERL-7	CVCL_2017	no available	Homo Sapiens	Blood	Bone marrow	30Y	Adult	Male	White	T-cell non-hodgkin's lymphoma; Hepatosplenic t-cell lymphoma	T cell	cell	DERL7; DERL-NK7	curated
DM-3	DM-3	CVCL_2019	no available	Homo Sapiens	Lung	Lung; Pleura	62Y	Adult	Male	Caucasian	Pleural sarcomatoid mesothelioma	no available	cell	DM3	curated
DND-41	DND-41	CVCL_2022	no available	Homo Sapiens	Blood	Peripheral blood	13Y	Juvenile	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	DND41; DND 41	curated
EB-1	EB1	CVCL_2027	EB-1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Jaw; Maxilla; Upper maxilla; Bone	9Y	Children	Female	African; Ugandan	Burkitt lymphoma	B cell	cell	EB1 CELL; EB-1; EPSTEIN-BARR-1	curated
EJM	EJM	CVCL_2030	no available	Homo Sapiens	Haematopoietic and Lymphoid	Ascites; Peritoneal fluid	58Y	Adult	Female	Caucasian	Plasma cell myeloma	no available	cell	EJM	curated
EM-3	EM-3	CVCL_2033	EM-3 cell	Homo Sapiens	Bone Marrow	Bone marrow	5Y	Children	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	EM3; EM3 CELL	curated
EN	EN	CVCL_2034	no available	Homo Sapiens	Endometrium	Cervical endometrium	50Y	Adult	Female	Japanese	Endometrial carcinoma	no available	cell	EN	curated
ESO26	ESO-26	CVCL_2035	no available	Homo Sapiens	Esophagus	Distal	56Y	Adult	Male	Caucasian	Gastroesophageal junction adenocarcinoma	no available	cell	ESO26	curated
ESO51	ESO-51	CVCL_2036	no available	Homo Sapiens	Esophagus	Distal	74Y	Elderly	Male	Caucasian	Esophageal adenocarcinoma	no available	cell	ESO51	curated
F-36P	F-36P	CVCL_2037	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	68Y	Elderly	Male	Japanese	Myelodysplastic syndrome	no available	cell	F36P	curated
FLO-1	FLO-1	CVCL_2045	FLO-1 cell	Homo Sapiens	Esophagus	Esophagus	68Y	Elderly	Male	Caucasian	Barrett adenocarcinoma	no available	cell	FLO 1; FLO; FLO-1; FLO1	curated
FU-OV-1	FU-OV-1	CVCL_2047	no available	Homo Sapiens	Ovary	Ovary	65Y	Elderly	Female	Japanese	High grade ovarian serous adenocarcinoma	no available	cell	FUOV-1; FUKUOKA UNIVERSITY-OVARIAN-1; FUOV1	curated
GOS-3	GOS-3	CVCL_2050	no available	Homo Sapiens	Brain	Temporal lobe	64Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	GOS3; GOS 3	curated
HCC-15	HCC15	CVCL_2057	no available	Homo Sapiens	Lung	Lung	47Y	Adult	Male	African American	Squamous cell lung carcinoma	no available	cell	HCC-15; HAMON CANCER CENTER 15; HCC0015	curated
HCC-33	HCC33	CVCL_2058	HCC-33 cell	Homo Sapiens	Lung	Pleural effusion	52Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	HAMON CANCER CENTER 33; HCC0033; HCC-33	curated
HCC-366	HCC366	CVCL_2059	no available	Homo Sapiens	Lung	Lung	80Y	Elderly	Female	Caucasian	Lung adenosquamous carcinoma	no available	cell	HCC0366; HAMON CANCER CENTER 366; HCC-366	curated
HCC-44	HCC44	CVCL_2060	no available	Homo Sapiens	Lung	Lung	54Y	Adult	Female	Caucasian	Lung adenocarcinoma	no available	cell	HCC0044; HCC-44; HAMON CANCER CENTER 44	curated
HCC-78	HCC78	CVCL_2061	no available	Homo Sapiens	Lung	Pleural effusion	65Y	Elderly	Male	Caucasian	Lung adenocarcinoma	no available	cell	HAMON CANCER CENTER 78; HCC0078; HCC-78	curated
HCC202	HCC202	CVCL_2062	no available	Homo Sapiens	Breast	Mammary gland duct	82Y	Elderly	Female	Caucasian	Breast ductal carcinoma	no available	cell	HAMON CANCER CENTER 202; HCC0202; HCC-202	curated
HCC-827	HCC827	CVCL_2063	HCC-827 cell	Homo Sapiens	Lung	Lung	39Y	Adult	Female	Caucasian	Lung adenocarcinoma	no available	cell	HAMON CANCER CENTER 827; HCC0827; HCC-827; HCC827 CELL; HCC 827	curated
HDQ-P1	HDQ-P1	CVCL_2067	no available	Homo Sapiens	Breast	Breast	50Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HDQP1	curated
HNT-34	HNT-34	CVCL_2071	no available	Homo Sapiens	Blood	Peripheral blood	47Y	Adult	Female	Japanese	Acute myeloid leukemia	no available	cell	HNT34	curated
IGR-37	IGR-37	CVCL_2075	IGR-37 cell	Homo Sapiens	Skin	Groin lymph node; Inguinal lymph node	26Y	Adult	Male	Caucasian	Melanoma	no available	cell	MM1; IGR37; IGR-37; INSTITUT GUSTAVE ROUSSY-37; IGR 37; IGR37 CELL	curated
IGR-39	IGR-39	CVCL_2076	no available	Homo Sapiens	Skin	Skin; Left thigh	26Y	Adult	Male	Caucasian	Melanoma	no available	cell	IGR 39; PM1; IGR39; INSTITUT GUSTAVE ROUSSY-39	curated
JIMT-1	JIMT-1	CVCL_2077	JIMT-1 cell	Homo Sapiens	Breast	Pleural effusion	62Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	JIMT; JIMT1	curated
JJN-3	JJN-3	CVCL_2078	no available	Homo Sapiens	Bone Marrow	Bone marrow	57Y	Adult	Female	Caucasian	Plasma cell myeloma	no available	cell	JJN3	curated
JK-1	JK-1	CVCL_2079	no available	Homo Sapiens	Haematopoietic and Lymphoid	Shoulder tumour	62Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	JK1	curated
JL-1	JL-1	CVCL_2080	no available	Homo Sapiens	Lung	Lung; Pleura	54Y	Adult	Male	Caucasian	Pleural epithelioid mesothelioma	no available	cell	JL1	curated
JMSU-1	JMSU-1	CVCL_2081	no available	Homo Sapiens	Bladder	Ascites	75Y	Elderly	Male	Japanese	Bladder carcinoma	no available	cell	JMSU1	curated
JURL-MK1	JURL-MK1	CVCL_2086	JURL-MK1 cell	Homo Sapiens	Blood	Peripheral blood	73Y	Elderly	Male	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	JURLMK1	curated
JURL-MK2	JURL-MK2	CVCL_2087	JURL-MK2 cell	Homo Sapiens	Blood	Peripheral blood	73Y	Elderly	Male	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	JURLMK2	curated
KCI-MOH1	KCI-MOH1	CVCL_2090	no available	Homo Sapiens	Pancreas	Pancreas	64Y	Adult	Female	Caucasian	Pancreatic adenocarcinoma	pancreatic ductal cell	cell	KCIMOH-1; KCIMOH1; WSU-MOH1	curated
KCL-22	KCL-22	CVCL_2091	KCL-22 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	32Y	Adult	Female	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	KCL22S; KCL22-S; KCL22; KCL22 CELL	curated
KELLY	Kelly	CVCL_2092	KELLY cell	Homo Sapiens	Brain	Brain	1Y	Infant	Female	Caucasian	Neuroblastoma	no available	cell	NB19-RIKEN; NB19; KELLY; KELLY CELL; NB-19	curated
Ki-JK	Ki-JK	CVCL_2093	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	15Y	Juvenile	Male	Japanese	Alk-positive anaplastic large cell lymphoma	no available	cell	KIJK; KI-JK	curated
KPL-1	KPL-1	CVCL_2094	no available	Homo Sapiens	Breast	Pleural effusion	69Y	Elderly	Female	Caucasian	Invasive breast carcinoma	no available	cell	NAN; KPL1; KPL.1	curated
KYO-1	KYO-1	CVCL_2095	no available	Homo Sapiens	Blood	Peripheral blood	22Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	KYO1; KYOTO 1	curated
L-1236	L-1236	CVCL_2096	no available	Homo Sapiens	Blood	Peripheral blood	34Y	Adult	Male	Caucasian	Hodgkins lymphoma	no available	cell	L1236; L 1236	curated
L-82	L-82	CVCL_2098	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	24Y	Adult	Female	no available	Alk-positive anaplastic large cell lymphoma	no available	cell	L82	curated
LOU-NH91	LOU-NH91	CVCL_2104	no available	Homo Sapiens	Lung	Lower right lung lobe; Lung; Right lower lobe	64Y	Adult	Female	Caucasian	Squamous cell lung carcinoma	no available	cell	LOUNH91; LOU-NH-91	curated
M-07e	M-07e	CVCL_2106	M-07E cell	Homo Sapiens	Blood	Peripheral blood	6M	no available	Female	Caucasian	Childhood acute megakaryoblastic leukemia	no available	cell	MO7E; M-07E; M-O7E CELL; M07E; M07-E; MO7E CELL; M07E CELL; M-O7E	curated
MB-1	MB-1	CVCL_2109	no available	Homo Sapiens	Thyroid	Thyroid (retrosternal mass); Thyroid gland	57Y	Adult	Male	Caucasian	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	MB1	curated
ME-1	ME-1 [Human leukemia]	CVCL_2110	no available	Homo Sapiens	Blood	Peripheral blood	40Y	Adult	Male	Japanese	Acute myeloid leukemia	no available	cell	ME1	curated
MFE-319	MFE-319	CVCL_2112	no available	Homo Sapiens	Endometrium	Endometrium	81Y	Elderly	Female	Caucasian	Endometrial adenosquamous carcinoma	no available	cell	MFE319	curated
MOLM-1	MOLM-1	CVCL_2118	no available	Homo Sapiens	Bone Marrow	Bone marrow	41Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	MOLM1	curated
MOLM-13	MOLM-13	CVCL_2119	MOLM-13 cell	Homo Sapiens	Blood	Peripheral blood	20Y	Adult	Male	Japanese	Myelodysplastic syndrome	no available	cell	MOLM13; MOLM13 CELL; MOLM 13	curated
MOLM-16	MOLM-16	CVCL_2120	MOLM-16 cell	Homo Sapiens	Blood	Peripheral blood	77Y	Elderly	Female	Japanese	Acute myeloid leukemia	no available	cell	MOLM16; MOLM16 CELL	curated
MOLM-6	MOLM-6	CVCL_2122	MOLM-6 cell	Homo Sapiens	Blood	Peripheral blood	44Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	MOLM6 CELL; MOLM6	curated
MOLP-2	MOLP-2	CVCL_2123	no available	Homo Sapiens	Blood	Peripheral blood	55Y	Adult	Male	Japanese	Plasma cell myeloma	no available	cell	MOLP2	curated
MOLP-8	MOLP-8	CVCL_2124	no available	Homo Sapiens	Blood	Peripheral blood	52Y	Adult	Male	Japanese	Plasma cell myeloma	no available	cell	MOLP8	curated
MOLT-17	MOLT-17	CVCL_2125	MOLT-17 cell	Homo Sapiens	Blood	Peripheral blood	5Y	Children	Female	African American	T-cell childhood acute lymphocytic leukemia	T cell	cell	MOLT 17; MOLT-17; MOLT17	curated
MOTN-1	MOTN-1	CVCL_2127	no available	Homo Sapiens	Blood	Peripheral blood	65Y	Elderly	Female	Japanese	T-cell large granular lymphocyte leukemia	T cell	cell	MOTN1	curated
MUTZ-8	MUTZ-8	CVCL_2130	MUTZ-8 cell	Homo Sapiens	Blood	Peripheral blood	63Y	Adult	Female	no available	Acute myeloid leukemia	no available	cell	MUTZ8; MENSCHLICHE UND TIERISCHE ZELLKULTURE-8	curated
NGP	NGP	CVCL_2141	no available	Homo Sapiens	Peripheral Nervous System	Lung	2Y	Infant	Male	no available	Neuroblastoma	no available	cell	NGP	curated
NK-92	NK-92	CVCL_2142	NK-92 cell	Homo Sapiens	Blood	Peripheral blood	50Y	Adult	Male	Caucasian	Natural killer cell lymphoblastic leukemia/lymphoma	natural killer cell	cell	NK-92.05; NATURAL KILLER-92; ANK; NEUKOPLAST; NK92 CELL; NK92	curated
NMB	NMB	CVCL_2143	NMB cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	10M	no available	Female	no available	Neuroblastoma	no available	cell	NMB	curated
OCI-M1	OCI-M1	CVCL_2149	OCI-M1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Erythroleukemia blasts	62Y	Adult	no available	Caucasian	Acute myeloid leukemia	no available	cell	OCIM1; OCI M1 CELL; OCI M1	curated
OCI-M2	OCI-M2	CVCL_2150	OCI-M2 cell	Homo Sapiens	Haematopoietic and Lymphoid	no available	56Y	Adult	no available	no available	Acute myeloid leukemia	no available	cell	OCIM2; OCI M2 CELL; OCI M2	curated
PL-21	PL-21	CVCL_2161	PL-21 cell	Homo Sapiens	Blood	Peripheral blood	24Y	Adult	Male	Japanese	Acute myeloid leukemia	no available	cell	PL21; PL21 CELL	curated
PLB-985	PLB-985	CVCL_2162	PLB-985 cell	Homo Sapiens	Blood	Peripheral blood	36Y	Adult	Female	Caucasian	Acute myeloid leukemia	no available	cell	PLB 985; PLB985 CELL; PLB985; PLB 985 CELL	curated
RD-ES	RD-ES	CVCL_2169	RD-ES cell	Homo Sapiens	Bone	Humerus	19Y	Adult	Male	Caucasian	Ewing sarcoma	no available	cell	RDES-1; RDES	curated
