source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[Condition BioReplicate]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Condition BioReplicate]
PXD001064-Sample-78	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-21-A	1	cell	run 78	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_031_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_031_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-21-A
PXD001064-Sample-79	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-21-A	1	cell	run 79	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_023_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_023_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-21-A
PXD001064-Sample-80	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-21-B	1	cell	run 80	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_018_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-21-B
PXD001064-Sample-81	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-21-B	1	cell	run 81	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_026_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_026_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-21-B
PXD001064-Sample-82	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-22-A	1	cell	run 82	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_017_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_017_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-22-A
PXD001064-Sample-83	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-22-A	1	cell	run 83	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_009_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_009_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-22-A
PXD001064-Sample-84	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-22-B	1	cell	run 84	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_014_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_014_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-22-B
PXD001064-Sample-85	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-22-B	1	cell	run 85	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_010_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-22-B
PXD001064-Sample-86	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-23-A	1	cell	run 86	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_034_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_034_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-23-A
PXD001064-Sample-87	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-23-A	1	cell	run 87	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_025_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_025_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-23-A
PXD001064-Sample-88	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-23-B	1	cell	run 88	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_031_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_031_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-23-B
PXD001064-Sample-89	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-23-B	1	cell	run 89	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_011_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-23-B
PXD001064-Sample-90	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-24-A	1	cell	run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_030_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_030_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-24-A
PXD001064-Sample-91	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-24-A	1	cell	run 91	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_009_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_009_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-24-A
PXD001064-Sample-92	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-24-B	1	cell	run 92	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_033_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_033_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-24-B
PXD001064-Sample-93	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-24-B	1	cell	run 93	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_028_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_028_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-24-B
PXD001064-Sample-94	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-25-A	1	cell	run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_016_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_016_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-25-A
PXD001064-Sample-95	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-25-A	1	cell	run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_001_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-25-A
PXD001064-Sample-96	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-25-B	1	cell	run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_017_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_017_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-25-B
PXD001064-Sample-97	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-25-B	1	cell	run 97	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_003_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-25-B
PXD001064-Sample-98	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-26-A	1	cell	run 98	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_023_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_023_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-26-A
PXD001064-Sample-99	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-26-A	1	cell	run 99	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_019_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_019_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-26-A
PXD001064-Sample-100	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-26-B	1	cell	run 100	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_011_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-26-B
PXD001064-Sample-101	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-26-B	1	cell	run 101	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_020_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_020_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-26-B
PXD001064-Sample-102	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-27-A	1	cell	run 102	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_020_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_020_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-27-A
PXD001064-Sample-103	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-27-A	1	cell	run 103	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_021_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-27-A
PXD001064-Sample-104	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-27-B	1	cell	run 104	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_021_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-27-B
PXD001064-Sample-105	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-27-B	1	cell	run 105	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_029_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_029_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-27-B
PXD001064-Sample-106	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-28-A	1	cell	run 106	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_015_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_015_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-28-A
PXD001064-Sample-107	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-28-A	1	cell	run 107	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_015_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_015_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-28-A
PXD001064-Sample-108	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-28-B	1	cell	run 108	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_001_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-28-B
PXD001064-Sample-109	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-28-B	1	cell	run 109	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_025_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_025_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-28-B
PXD001064-Sample-110	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-29-A	1	cell	run 110	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_027_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_027_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-29-A
PXD001064-Sample-111	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-29-A	1	cell	run 111	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_028_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_028_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-29-A
PXD001064-Sample-112	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-29-B	1	cell	run 112	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_028_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_028_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-29-B
PXD001064-Sample-113	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-29-B	1	cell	run 113	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_015_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_015_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-29-B
PXD001064-Sample-114	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-30-A	1	cell	run 114	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_006_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-30-A
PXD001064-Sample-115	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-30-A	1	cell	run 115	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_008_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_008_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-30-A
PXD001064-Sample-116	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-30-B	1	cell	run 116	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_021_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-30-B
