source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[equalization]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[ion exchange method]	comment[salt step]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026126-Sample 62	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 62	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 63	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 63	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 64	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 64	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F6_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 65	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 65	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 66	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 66	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 67	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 67	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F1_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 68	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 68	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 69	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 69	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 70	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 70	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F2_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 71	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 71	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 72	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 72	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 73	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 73	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F3_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 74	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 74	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 75	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 75	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 76	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 76	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F4_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 77	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 77	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 78	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 78	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 79	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 79	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F5_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 80	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 80	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 81	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 81	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 82	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 82	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_FT_F6_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	2 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
